Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
"AKDHC SURGERY CENTER, LLC","3600 W TANGERINE RD, MARANA, AZ 85658-5165",602-200-8288,Surgery Center,High,Other Medical,Low
"AKDHC SURGERY CENTER, LLC","2771 SILVER CREEK RD STE 10, BULLHEAD CITY, AZ 86442-7959",602-200-8288,Surgery Center,High,Other Medical,Low
"Aloe Surgical Center Scottsdale, Llc","9700 N 91ST ST, SCOTTSDALE, AZ 85258-5054",602-256-2525,Surgery Center,High,Other Medical,Low
Ambulatory Surgery Center of Tucson,"1502 N TUCSON BLVD, TUCSON, AZ 85716-3423",520-326-4321,Surgery Center,High,Other Medical,Low
ANTHEM PAIN MANAGEMENT,"41818 N VENTURE DR STE 150, ANTHEM, AZ 85086-3190",623-341-8469,Pain Management,Medium,Other Medical,Low
APM SURGERY CENTER LLC,"604 W WARNER RD, CHANDLER, AZ 85225-2906",480-808-2597,Surgery Center,High,Other Medical,Low
APOLLO SURGERY CENTERS PLLC,"9458 E IRONWOOD SQUARE DR, SCOTTSDALE, AZ 85258-4571",602-603-0300,Surgery Center,High,Other Medical,Low
APOLLO SURGICAL CENTER LLC,"7615 E BASELINE RD STE 102, MESA, AZ 85209-2000",480-597-3290,Surgery Center,High,Other Medical,Low
ARIZONA ADVANCED PAIN CENTER,"4566 E IVERNESS AVE STE 101, MESA, AZ 85206",602-931-9424,Pain Management,Medium,Other Medical,Low
"ARIZONA ADVANCED SURGERY CENTER, LLC AND ADVANCED","4518 E CAMP LOWELL DR, TUCSON, AZ 85712-1282",480-874-2229,Surgery Center,High,Other Medical,Low
ARIZONA CARDIOVASCULAR INSTITUTE,"20565 N 19TH AVE, PHOENIX, AZ 85027-3563",602-714-8800,Specialty Medical,High,Other Medical,Low
ARIZONA CENTER FOR HEMATOLOGY & ONCOLOGY,"7695 S RESEARCH DR, TEMPE, AZ 85284-1812",707-367-1474,Specialty Medical,High,Other Medical,Low
ARIZONA CENTER FOR HEMATOLOGY & ONCOLOGY,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-283-2345,Specialty Medical,High,Other Medical,Low
ARIZONA NEUROSURGERY AND SPINE SPECIALISTS,"9139 W THUNDERBIRD RD STE 2, PEORIA, AZ 85381-4913",623-455-7119,Specialty Medical,High,Other Medical,Low
ARIZONA NEUROSURGERY AND SPINE SPECIALISTS,"3420 S MERCY RD STE 211, GILBERT, AZ 85297-0424",623-455-7119,Specialty Medical,High,Other Medical,Low
ARIZONA NEUROSURGERY AND SPINE SPECIALISTS,"1331 N 7TH ST STE 405, PHOENIX, AZ 85006-2754",623-455-7119,Specialty Medical,High,Other Medical,Low
ARIZONA OUTPATIENT SURGERY CENTER,"6245 N 16TH ST, PHOENIX, AZ 85016-1706",602-274-1705,Surgery Center,High,Other Medical,Low
ARIZONA PAIN CARE CENTER,"12480 N RANCHO VISTOSO BLVD, ORO VALLEY, AZ 85755-1991",520-742-4008,Pain Management,Medium,Other Medical,Low
ARIZONA PAIN CARE CENTER,"5639 E GRANT RD, TUCSON, AZ 85712-2211",520-742-4008,Pain Management,Medium,Other Medical,Low
ARIZONA PAIN CARE CENTER,"17100 N 67TH AVE, GLENDALE, AZ 85308-3605",520-742-4008,Pain Management,Medium,Other Medical,Low
"ARIZONA PAIN SPECIALISTS, LLC","875 N GREENFIELD RD # 11, GILBERT, AZ 85234-5044",480-245-6151,Pain Management,Medium,Other Medical,Low
"ARIZONA PAIN SPECIALISTS, PLLC","18555 N 79TH AVE, GLENDALE, AZ 85308-8370",480-245-6126,Pain Management,Medium,Other Medical,Low
"ARIZONA PAIN SPECIALISTS, PLLC","9787 N 91ST ST, SCOTTSDALE, AZ 85258-5088",602-245-6126,Pain Management,Medium,Other Medical,Low
"ARIZONA PAIN SPECIALISTS, PLLC","2905 W WARNER RD STE 19, CHANDLER, AZ 85224-1674",602-525-3991,Pain Management,Medium,Other Medical,Low
"ARIZONA PAIN TREATMENT CENTERS, P C","1301 E MCDOWELL RD, PHOENIX, AZ 85006-2621",602-265-8800,Pain Management,Medium,Other Medical,Low
"ARIZONA RECOVERY CARE CENTER, LLC","1635 E MYRTLE AVE, PHOENIX, AZ 85020-5556",602-216-6908,Rehab,High,Other Medical,Low
ARIZONA SKIN CANCER SURGERY CENTER P C,"5980 N LA CHOLLA BLVD, TUCSON, AZ 85741-3535",520-887-3333,Surgery Center,High,Other Medical,Low
ARIZONA SPECIALTY SURGERY CENTER,"2905 W WARNER RD STE 1, CHANDLER, AZ 85224-1674",480-386-8400,Surgery Center,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","201 W GUADALUPE RD, GILBERT, AZ 85233-3332",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","33747 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1565",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","1325 N LITCHFIELD RD # 12, GOODYEAR, AZ 85395-1213",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","7200 W BELL RD STE F-1, GLENDALE, AZ 85308-8529",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","725 S DOBSON RD STE 100, CHANDLER, AZ 85224-5676",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","1760 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4764",602-795-8700,Specialty Medical,High,Other Medical,Low
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","14420 W MEEKER BLVD # 2, SUN CITY WEST, AZ 85375-5286",602-795-8700,Specialty Medical,High,Other Medical,Low
ARIZONA SURGICAL CENTERS,"9458 E IRONWOOD SQUARE DR, SCOTTSDALE, AZ 85258-4571",602-585-3626,Surgery Center,High,Other Medical,Low
Arrowhead North Surgery Center,"13660 N 94TH DR, PEORIA, AZ 85381-4836",623-230-3822,Surgery Center,High,Other Medical,Low
"ARROWHEAD SURGERY CENTER, LLC","1500 W RAY RD STE 2, CHANDLER, AZ 85224-0002",480-272-2686,Surgery Center,High,Other Medical,Low
ASAP SURGERY CENTERS NORTH VALLEY LLC,"2525 W GREENWAY RD STE 1, PHOENIX, AZ 85023-4226",480-750-7073,Surgery Center,High,Other Medical,Low
AURORA SURGICAL CENTER,"1254 W UNIVERSITY AVE, FLAGSTAFF, AZ 86001-7216",928-395-3296,Surgery Center,High,Other Medical,Low
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"17612 N 59TH AVE, GLENDALE, AZ 85308-3795",480-874-2229,Surgery Center,High,Other Medical,Low
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"9819 N 95TH ST, SCOTTSDALE, AZ 85258-4588",480-496-2345,Surgery Center,High,Other Medical,Low
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"1475 W CHANDLER BLVD STE 1, CHANDLER, AZ 85224-6257",480-874-2229,Surgery Center,High,Other Medical,Low
AZ PAIN MEDICINE CLINIC LLC,"8805 N 23RD AVE, PHOENIX, AZ 85021-4171",602-368-8800,Pain Management,Medium,Other Medical,Low
Banner Cardiovascular Center - Chandler,"1475 W CHANDLER BLVD, CHANDLER, AZ 85224-6257",602-481-7369,Specialty Medical,High,Other Medical,Low
Banner Cardiovascular Center – Tanque Verde,"6377 E TANQUE VERDE RD, TUCSON, AZ 85715-3853",520-609-1952,Specialty Medical,High,Other Medical,Low
BANNER CARDIOVASCULAR CENTER- WEST VALLEY,"14642 N DEL WEBB BLVD, SUN CITY, AZ 85351-2147",602-649-5499,Specialty Medical,High,Other Medical,Low
Banner Desert Surgery Center,"1500 S DOBSON RD, MESA, AZ 85202-4713",480-306-6098,Surgery Center,High,Other Medical,Low
BANNER ESTRELLA SURGERY CENTER,"ESTRELLA MEDICAL PLAZA I, 9301, PHOENIX, AZ 85037",623-213-7407,Surgery Center,High,Other Medical,Low
BANNER HEALTH CLINIC - BAYWOOD CARDIOLOGY AND ENDO,"6424 E BROADWAY RD, MESA, AZ 85206-1750",480-733-7500,Specialty Medical,High,Other Medical,Low
BANNER HEALTH CLINIC - DESERT CARDIOLOGY,"1520 S DOBSON RD STE 203, MESA, AZ 85202-4726",480-733-7535,Specialty Medical,High,Other Medical,Low
BANNER NEURO WELLNESS CLINIC,"207 N GILBERT RD BSMT 2, GILBERT, AZ 85234-5804",480-827-5800,Specialty Medical,High,Other Medical,Low
BANNER PEORIA SURGERY CENTER,"13640 N PLAZA DEL RIO BLVD, PEORIA, AZ 85381-4846",623-876-3943,Surgery Center,High,Other Medical,Low
Banner Phoenix Surgery Center,"1111 E MCDOWELL RD, PHOENIX, AZ 85006-2612",602-368-3854,Surgery Center,High,Other Medical,Low
Banner Sun City West Surgery Center,"14416 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5284",623-285-1741,Surgery Center,High,Other Medical,Low
"BANNER SURGERY CENTER - ALVERNON, LLC","750 N ALVERNON WAY, TUCSON, AZ 85711-1804",602-358-8512,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - CAMELBACK,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-358-8512,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - DEER VALLEY,"20045 N 19TH AVE, PHOENIX, AZ 85027-4252",602-313-8110,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - MESA,"2626 E UNIVERSITY DR # SU, MESA, AZ 85213-8478",602-358-8512,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - REID PARK,"717 S ALVERNON WAY, TUCSON, AZ 85711-5351",520-372-7374,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - SHEA PARK,"2222 E HIGHLAND AVE STE 100, PHOENIX, AZ 85016-4874",602-354-3242,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER - SPORTS MEDICINE,"7400 N DOBSON RD STE 301, SCOTTSDALE, AZ 85256-2771",602-362-5107,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER- IRONWOOD,"37200 N GANTZEL RD STE 10, QUEEN CREEK, AZ 85140-7368",602-358-8512,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER- TEMPE,"1940 E SOUTHERN AVE, TEMPE, AZ 85282-7518",480-867-1649,Surgery Center,High,Other Medical,Low
Banner Surgery Center- Thunderbird Llc,"5555 W THUNDERBIRD RD, GLENDALE, AZ 85306-4622",602-607-5770,Surgery Center,High,Other Medical,Low
BANNER SURGERY CENTER-CHANDLER,"1125 S ALMA SCHOOL RD STE 1, CHANDLER, AZ 85286-2810",602-358-8512,Surgery Center,High,Other Medical,Low
Banner Union Hills Surgery Center,"18301 N 79TH AVE, GLENDALE, AZ 85308-8463",623-234-2294,Surgery Center,High,Other Medical,Low
BANNER UNIVERSITY MEDICINE NEUROLOGY - FLAGSTAFF,"823 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001-3294",520-694-8888,Specialty Medical,High,Other Medical,Low
BANNER UNIVERSITY MEDICINE- CARDIOLOGY CLINIC,"6365 E TANQUE VERDE RD, TUCSON, AZ 85715-3830",520-694-8888,Specialty Medical,High,Other Medical,Low
BARROW EMERGENCY STROKE TREATMENT UNIT (BESTU),"350 W THOMAS RD, PHOENIX, AZ 85013-4409",602-406-3000,Hospital,High,Other Medical,Low
BEARDSLEY SURGERY CENTER,"20325 N 51ST AVE STE 102, GLENDALE, AZ 85308-5665",602-253-4271,Surgery Center,High,Other Medical,Low
BILTMORE CARDIOLOGY AT ARIZONA HEART,"1910 E THOMAS RD STE 200, PHOENIX, AZ 85016-7767",602-266-2200,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY CASA GRANDE,"1890 E FLORENCE BLVD, CASA GRANDE, AZ 85122-5642",480-888-5203,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY PAYSON,"708 S COEUR D ALENE LN, PAYSON, AZ 85541-5662",480-888-5203,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY PHOENIX,"2777 E CAMELBACK RD, PHOENIX, AZ 85016-4347",480-888-5203,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY SURPRISE,"14815 W BELL RD STE 104, SURPRISE, AZ 85374-7603",480-888-5203,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY WICKENBURG,"519 ROSE LN, WICKENBURG, AZ 85390-1448",480-888-5203,Specialty Medical,High,Other Medical,Low
BILTMORE CARDIOLOGY- WEST,"1325 N LITCHFIELD RD STE 1, GOODYEAR, AZ 85395-1213",602-396-9894,Specialty Medical,High,Other Medical,Low
"BODYSCULPTING OUTPATIENT SURGERY CENTER, LLC","2255 N SCOTTSDALE RD, SCOTTSDALE, AZ 85257-2124",480-464-8000,Surgery Center,High,Other Medical,Low
BUCKEYE SURGERY CENTER,"23480 NORTH SUNDANCE PARKWAY W, BUCKEYE, AZ 85326",623-250-4800,Surgery Center,High,Other Medical,Low
"CAMELBACK PAIN, PLLC","5410 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85253-5927",480-572-2444,Pain Management,Medium,Other Medical,Low
"Camp Lowell Surgery Center, LLC","4620 E CAMP LOWELL DR, TUCSON, AZ 85712-1296",520-618-6058,Surgery Center,High,Other Medical,Low
CANYON PAIN AND SPINE,"14445 W MCDOWELL RD, GOODYEAR, AZ 85395-2518",623-232-8787,Specialty Medical,High,Other Medical,Low
CANYON PAIN AND SPINE,"6320 W UNION HILLS DR STE A270, GLENDALE, AZ 85308-7175",623-250-5288,Specialty Medical,High,Other Medical,Low
CANYON PAIN AND SPINE,"10238 E HAMPTON AVE STE 416, MESA, AZ 85209-3320",480-550-9393,Specialty Medical,High,Other Medical,Low
CANYON PAIN AND SPINE,"1425 S HIGLEY RD BLDG 9, GILBERT, AZ 85296-4798",480-550-9393,Specialty Medical,High,Other Medical,Low
CANYON PAIN AND WELLNESS PLLC,"6120 W BELL RD STE 100, GLENDALE, AZ 85308-3780",602-325-2020,Pain Management,Medium,Other Medical,Low
CANYON PAIN CENTER,"702 E BELL RD STE 112, PHOENIX, AZ 85022-6639",602-603-2282,Pain Management,Medium,Other Medical,Low
Canyon Pain Surgery Center LLC,"4540 E BASELINE RD, MESA, AZ 85206-4613",480-561-0446,Surgery Center,High,Other Medical,Low
CANYON SURGERY CENTER,"6036 N 19TH AVE, PHOENIX, AZ 85015-2106",602-589-8000,Surgery Center,High,Other Medical,Low
CARDIAC SURGERY CENTER OF ARIZONA LLC,"20199 N 67TH AVE, GLENDALE, AZ 85308-7001",623-561-9002,Surgery Center,High,Other Medical,Low
CARDIAC SURGERY CENTER OF PHOENIX,"1910 E THOMAS RD STE 1, PHOENIX, AZ 85016-7766",713-812-7586,Surgery Center,High,Other Medical,Low
Cardiovascular Associates Surgery And Electrophysi,"4838 E BASELINE RD STE 108, MESA, AZ 85206-4672",480-687-5045,Specialty Medical,High,Other Medical,Low
CARDIOVASCULAR CONSULTANTS LTD - ARROWHEAD,"18700 N 64TH DR STE 1, GLENDALE, AZ 85308-7109",602-867-8644,Specialty Medical,High,Other Medical,Low
CARDIOVASCULAR CONSULTANTS LTD - BELL ROAD,"3805 E BELL RD STE 310, PHOENIX, AZ 85032-2105",602-867-8644,Specialty Medical,High,Other Medical,Low
CARDIOVASCULAR CONSULTANTS LTD - DEER VALLEY,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",602-867-8644,Specialty Medical,High,Other Medical,Low
CARDIOVASCULAR CONSULTANTS LTD - NORTH SCOTTSDALE,"10210 N 92ND ST, SCOTTSDALE, AZ 85258-4509",602-867-8644,Specialty Medical,High,Other Medical,Low
CARDIOVASCULAR CONSULTANTS LTD - THUNDERBIRD,"5422 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4700",602-867-8644,Specialty Medical,High,Other Medical,Low
"CARDIOVASCULAR CONSULTANTS, LTD- SOUTH SCOTTSDALE","3501 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85251-5648",602-867-8644,Specialty Medical,High,Other Medical,Low
CARONDELET FOOTHILLS SURGERY CENTER,"2220 W ORANGE GROVE RD, TUCSON, AZ 85741-3117",520-877-5660,Surgery Center,High,Other Medical,Low
CARONDELET MARANA EMERGENCY CENTER,"5620 WEST CORTANO FARMS ROAD, TUCSON, AZ 85742",520-872-6765,Hospital,High,Other Medical,Low
CARONDELET ST. RAPHAEL’S EMERGENCY CENTER,"7401 S WILMOT RD, TUCSON, AZ 85756-8803",520-873-3000,Hospital,High,Other Medical,Low
CATALINA SURGERY CENTER,"7508 N LA CHOLLA BLVD, TUCSON, AZ 85741-2307",520-547-7450,Surgery Center,High,Other Medical,Low
"CENTER FOR CARDIOVASCULAR RESEARCH AND EDUCATION,","20565 N 19TH AVE, PHOENIX, AZ 85027-3563",602-714-8800,Specialty Medical,High,Other Medical,Low
"Central Arizona Surgery Center, LLC","1653 E MCMURRAY BLVD, CASA GRANDE, AZ 85122-5933",480-837-8396,Surgery Center,High,Other Medical,Low
CENTRAL PHOENIX SURGICAL CENTER,"5133 N CENTRAL AVE # SUI, PHOENIX, AZ 85012-1438",602-279-0044,Surgery Center,High,Other Medical,Low
CENTRAL SCOTTSDALE SURGERY CENTER,"3271 N CIVIC CENTER PLZ, SCOTTSDALE, AZ 85251-6990",480-814-9258,Surgery Center,High,Other Medical,Low
"CHANDLER SURGICAL CENTER, PLC","600 S DOBSON RD STE B, CHANDLER, AZ 85224-5678",480-289-4550,Surgery Center,High,Other Medical,Low
CITADEL POST ACUTE,"5121 E BROADWAY RD, MESA, AZ 85206-1308",480-832-5555,Rehab,High,Other Medical,Low
CLINIC FOR PAIN RELIEF PC,"10228 W COGGINS DR STE 1, SUN CITY, AZ 85351-3421",623-214-8800,Pain Management,Medium,Other Medical,Low
COMMUNITY PSYCHIATRIC EMERGENCY CENTER,"358 E JAVELINA AVE, MESA, AZ 85210-6205",480-831-7566,Hospital,High,Other Medical,Low
COMMUNITY PSYCHIATRIC EMERGENCY CENTER- OUTPATIENT,"358 E JAVELINA AVE STE 103, MESA, AZ 85210-6205",480-831-7566,Hospital,High,Other Medical,Low
CORONADO SURGERY CENTER,"150 S CORONADO DR STE 100, SIERRA VISTA, AZ 85635-6352",520-335-8450,Surgery Center,High,Other Medical,Low
Cottonwood Day Surgery Center,"55 S 6TH ST, COTTONWOOD, AZ 86326-4237",928-634-5118,Surgery Center,High,Other Medical,Low
COTTONWOOD PAIN MANAGEMENT AND SPINE SPECIALIST,"1 N MAIN ST, COTTONWOOD, AZ 86326-3864",602-589-0500,Specialty Medical,High,Other Medical,Low
DESERT CANYON SURGERY CENTER,"8960 E RAINTREE DR STE 110, SCOTTSDALE, AZ 85260-7030",480-590-2697,Surgery Center,High,Other Medical,Low
Desert Cliffs Surgery Center,"2250 W SOUTHERN AVE # SUI, MESA, AZ 85202-4736",480-404-6979,Surgery Center,High,Other Medical,Low
DESERT INTERVENTIONAL SPINE CONSULTANTS,"1410 W GUADALUPE RD BLDG 4, GILBERT, AZ 85233-3003",480-838-1914,Specialty Medical,High,Other Medical,Low
DESERT RIDGE OUTPATIENT SURGERY CENTER,"20940 N TATUM BLVD, PHOENIX, AZ 85050-4265",480-502-4000,Surgery Center,High,Other Medical,Low
Desert Vista Surgical Center,"10117 N 92ND ST STE 103, SCOTTSDALE, AZ 85258-4555",480-576-8700,Surgery Center,High,Other Medical,Low
DIGNITY HEALTH ARIZONA GENERAL HOSPIAL EMERGENCY R,"8310 W CAMELBACK RD, GLENDALE, AZ 85305-3220",623-584-5100,Hospital,High,Other Medical,Low
DISCOVER SURGICAL CENTER,"135 S POWER RD STE 11, MESA, AZ 85206-5245",775-772-7200,Surgery Center,High,Other Medical,Low
EAST THOMAS SURGERY CENTER LLC,"2629 N SCOTTSDALE RD, SCOTTSDALE, AZ 85257-1370",623-334-4000,Surgery Center,High,Other Medical,Low
EAST VALLEY AMBULATORY SURGICAL CENTER LLC,"2394 N ALMA SCHOOL RD, CHANDLER, AZ 85224-2425",480-963-0700,Surgery Center,High,Other Medical,Low
EAST VALLEY SURGERY CENTER,"1855 E SOUTHERN AVE, TEMPE, AZ 85282-5894",480-829-6100,Surgery Center,High,Other Medical,Low
ELEVATION SURGERY CENTER,"1840 N JASPER DR, FLAGSTAFF, AZ 86001-1634",928-699-5989,Surgery Center,High,Other Medical,Low
ELITE PAIN AND SPINE INSTITUTE PLC,"1641 E OSBORN RD, PHOENIX, AZ 85016-7146",602-790-1177,Specialty Medical,High,Other Medical,Low
"ELITE PAIN AND SPINE INSTITUTE, PLC","1810 S CRISMON RD, MESA, AZ 85209-3717",702-374-2910,Specialty Medical,High,Other Medical,Low
"ELITE PAIN AND SPINE INSTITUTE, PLC","535 E MCKELLIPS RD, MESA, AZ 85203-2522",480-900-7373,Specialty Medical,High,Other Medical,Low
EPIC SURGERY CENTER LLC,"16638 N 90TH ST, SCOTTSDALE, AZ 85260-1539",480-506-0484,Surgery Center,High,Other Medical,Low
EXCEL SURGICAL CENTER LLC,"6424 E BROADWAY RD STE 10, MESA, AZ 85206-1750",480-634-4606,Surgery Center,High,Other Medical,Low
Eye Surgery Center At The Biltmore,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-279-2434,Surgery Center,High,Other Medical,Low
Flagstaff Bone & Joint Surgical Center LLC,"501 N SWITZER CANYON DR, FLAGSTAFF, AZ 86001-4845",928-637-8337,Surgery Center,High,Other Medical,Low
"FOREST CANYON ENDOSCOPY AND SURGERY CENTER, PC","560 N SWITZER CANYON DR, FLAGSTAFF, AZ 86001-4844",928-774-3044,Surgery Center,High,Other Medical,Low
FORTITUDE SURGERY CENTER LLC,"5133 N CENTRAL AVE # SUI, PHOENIX, AZ 85012-1438",602-612-5535,Surgery Center,High,Other Medical,Low
FOUNTAIN HILLS POST ACUTE,"16300 E KEITH MCMAHAN DR, FOUNTAIN HILLS, AZ 85268-0101",480-836-4800,Rehab,High,Other Medical,Low
FOUR PEAKS PAIN CENTER,"3850 E BASELINE RD STE 117, MESA, AZ 85206-4404",602-935-1210,Pain Management,Medium,Other Medical,Low
FOUR PEAKS SURGERY CENTER,"9425 W BELL RD, SUN CITY, AZ 85351-1300",623-399-6880,Surgery Center,High,Other Medical,Low
FREEDOM SURGICAL CENTER,"17500 N PERIMETER DR # SU, SCOTTSDALE, AZ 85255-7800",623-241-6011,Surgery Center,High,Other Medical,Low
Gateway Surgery Center,"690 N COFCO CENTER CT, PHOENIX, AZ 85008-6462",602-288-4441,Surgery Center,High,Other Medical,Low
GILA COUNTY DIVISION OF HEALTH & EMERGENCY SERVICE,"5515 S APACHE AVE, GLOBE, AZ 85501-4428",928-402-8811,Hospital,High,Other Medical,Low
GILA COUNTY DIVISION OF HEALTH & EMERGENCY SERVICE,"110 W MAIN ST STE A, PAYSON, AZ 85541-6510",928-474-7180,Hospital,High,Other Medical,Low
"GLENDALE SURGICAL CENTERS OF ARIZONA, LLC","16390 N 59TH AVE, GLENDALE, AZ 85306-1711",623-298-1820,Surgery Center,High,Other Medical,Low
GOODYEAR PAIN MANAGEMENT,"13555 W MCDOWELL RD, GOODYEAR, AZ 85395-2624",602-589-0500,Pain Management,Medium,Other Medical,Low
HAVASU SURGERY CENTER,"1775 MCCULLOCH BLVD N, LAKE HAVASU CITY, AZ 86403-6549",928-453-4200,Surgery Center,High,Other Medical,Low
Hayden Surgical Center LLC,"10611 N HAYDEN RD, SCOTTSDALE, AZ 85260-8530",602-237-6340,Surgery Center,High,Other Medical,Low
"HEART AND VASCULAR SURGICAL CENTER, LLC","4860 E BASELINE RD, MESA, AZ 85206-4669",480-999-7081,Surgery Center,High,Other Medical,Low
HONORHEALTH MEDICAL GROUP NEUROLOGY,"7242 E OSBORN RD STE 400, SCOTTSDALE, AZ 85251-6494",602-258-3354,Specialty Medical,High,Other Medical,Low
HONORHEALTH MESA EMERGENCY CENTER,"5750 E BASELINE RD, MESA, AZ 85206-4806",602-249-0212,Hospital,High,Other Medical,Low
HONORHEALTH NEUROLOGY SPECIALTY CLINIC,"7242 E OSBORN RD STE 2, SCOTTSDALE, AZ 85251-6487",480-583-3000,Specialty Medical,High,Other Medical,Low
HONORHEALTH OUTPATIENT SURGERY CENTER,"9250 N 3RD ST STE 1, PHOENIX, AZ 85020-2437",623-687-0357,Surgery Center,High,Other Medical,Low
