Business Name,Address,Phone Number,Facility Type,Referral Priority
ARIZONA AUTISM,"665 N GILBERT RD STE 1, GILBERT, AZ 85234-3395",480-231-6711,Other Medical,C
ARIZONA CARDIOVASCULAR INSTITUTE,"20565 N 19TH AVE, PHOENIX, AZ 85027-3563",602-714-8800,Other Medical,C
ARIZONA CENTER FOR HEMATOLOGY & ONCOLOGY,"7695 S RESEARCH DR, TEMPE, AZ 85284-1812",707-367-1474,Other Medical,C
ARIZONA CENTER FOR HEMATOLOGY & ONCOLOGY,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-283-2345,Other Medical,C
"ARIZONA CENTER OF SURGICAL EXCELLENCE, LLC","3329 E BELL RD STE A2, PHOENIX, AZ 85032-2756",602-222-5600,Other Medical,C
ARIZONA DIGESTIVE CENTER,"8761 E BELL RD STE 101, SCOTTSDALE, AZ 85260-1316",480-419-7500,Other Medical,C
ARIZONA ENDOSCOPY CENTER,"1410 E MCDOWELL RD, PHOENIX, AZ 85006-2937",615-240-3820,Other Medical,C
"Arizona Eye Institute & Cosmetic Laser Center, LLC","19052 N R H JOHNSON BLVD, SUN CITY WEST, AZ 85375-4401",623-975-2020,Other Medical,C
ARIZONA OPHTHALMIC OUTPATIENT SURGERY,"300 E OSBORN RD STE 102, PHOENIX, AZ 85012-2383",602-234-8478,Other Medical,C
ARIZONA OUTPATIENT SURGERY CENTER,"6245 N 16TH ST, PHOENIX, AZ 85016-1706",602-274-1705,Other Medical,C
ARIZONA PAIN CARE CENTER,"17100 N 67TH AVE, GLENDALE, AZ 85308-3605",520-742-4008,Other Medical,C
"ARIZONA PAIN TREATMENT CENTERS, P C","1301 E MCDOWELL RD, PHOENIX, AZ 85006-2621",602-265-8800,Other Medical,C
ARIZONA SPECIALTY SURGERY CENTER,"2905 W WARNER RD STE 1, CHANDLER, AZ 85224-1674",480-386-8400,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","201 W GUADALUPE RD, GILBERT, AZ 85233-3332",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","33747 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1565",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","1325 N LITCHFIELD RD # 12, GOODYEAR, AZ 85395-1213",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","7200 W BELL RD STE F-1, GLENDALE, AZ 85308-8529",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","725 S DOBSON RD STE 100, CHANDLER, AZ 85224-5676",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-795-8700,Other Medical,C
"ARIZONA SPINE AND PAIN SPECIALISTS, LLC","14420 W MEEKER BLVD # 2, SUN CITY WEST, AZ 85375-5286",602-795-8700,Other Medical,C
ARIZONA SUPPORTIVE CARE,"1510 E FLOWER ST, PHOENIX, AZ 85014-5656",602-212-3000,Other Medical,C
ARIZONA SURGICAL CENTERS,"9458 E IRONWOOD SQUARE DR, SCOTTSDALE, AZ 85258-4571",602-585-3626,Other Medical,C
ARIZONA SURGICAL SPECIALISTS CENTER LLC,"17500 N PERIMETER DR, SCOTTSDALE, AZ 85255-7800",623-241-6011,Other Medical,C
ARIZONA SURGICAL SPECIALISTS CENTER WEST PHOENIX,"9250 W THOMAS RD STE 2, PHOENIX, AZ 85037-3382",623-742-1570,Other Medical,C
"ARIZONA SURGICAL SPECIALISTS CENTER, LLC","1984 E BASELINE RD, TEMPE, AZ 85283-1535",480-237-1234,Other Medical,C
ARIZONA VASCULAR PROFESSIONALS,"21001 N TATUM BLVD, PHOENIX, AZ 85050-4206",480-307-8258,Other Medical,C
Arrowhead Endoscopy Center,"7168 W CAMPO BELLO DR # SU, GLENDALE, AZ 85308-8480",623-376-8600,Other Medical,C
Arrowhead North Surgery Center,"13660 N 94TH DR, PEORIA, AZ 85381-4836",623-230-3822,Other Medical,C
"ARROWHEAD SURGERY CENTER, LLC","1500 W RAY RD STE 2, CHANDLER, AZ 85224-0002",480-272-2686,Other Medical,C
ASAP SURGERY CENTERS NORTH VALLEY LLC,"2525 W GREENWAY RD STE 1, PHOENIX, AZ 85023-4226",480-750-7073,Other Medical,C
ASSISTED PALLIATIVE CARE,"1420 E MISSOURI AVE # SUI, PHOENIX, AZ 85014-2405",480-860-8021,Other Medical,C
ATHENIX ADVANCED PLASTIC SURGERY & AESTHETIC CENTE,"7221 E PRINCESS BLVD STE 100, SCOTTSDALE, AZ 85255-9674",480-426-0611,Other Medical,C
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"17612 N 59TH AVE, GLENDALE, AZ 85308-3795",480-874-2229,Other Medical,C
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"9819 N 95TH ST, SCOTTSDALE, AZ 85258-4588",480-496-2345,Other Medical,C
AZ ADVANCED SURGERY CENTER & ADVANCED FERTILITY CA,"1475 W CHANDLER BLVD STE 1, CHANDLER, AZ 85224-6257",480-874-2229,Other Medical,C
AZ PAIN MEDICINE CLINIC LLC,"8805 N 23RD AVE, PHOENIX, AZ 85021-4171",602-368-8800,Other Medical,C
"AZ West Endoscopy Center, LLC","1850 N 95TH AVE, PHOENIX, AZ 85037-4317",623-594-4060,Other Medical,C
Banner Cardiovascular Center - Chandler,"1475 W CHANDLER BLVD, CHANDLER, AZ 85224-6257",602-481-7369,Other Medical,C
BANNER CARDIOVASCULAR CENTER- WEST VALLEY,"14642 N DEL WEBB BLVD, SUN CITY, AZ 85351-2147",602-649-5499,Other Medical,C
Banner Desert Surgery Center,"1500 S DOBSON RD, MESA, AZ 85202-4713",480-306-6098,Other Medical,C
BANNER ESTRELLA SURGERY CENTER,"ESTRELLA MEDICAL PLAZA I, 9301, PHOENIX, AZ 85037",623-213-7407,Other Medical,C
BANNER HEALTH CLINIC VASCULAR,"1940 N ALMA SCHOOL RD, CHANDLER, AZ 85224-2841",480-890-0280,Other Medical,C
BANNER MD ANDERSON CANCER CENTER,"14416 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5284",623-876-3800,Other Medical,C
BANNER MD ANDERSON CANCER CENTER,"2946 E BANNER GATEWAY DR, GILBERT, AZ 85234-2165",480-256-2165,Other Medical,C
BANNER MD ANDERSON CANCER CENTER RADIATION TRTMNT,"10424 W SANTA FE DR, SUN CITY, AZ 85351-3012",623-832-3400,Other Medical,C
BANNER PEORIA SURGERY CENTER,"13640 N PLAZA DEL RIO BLVD, PEORIA, AZ 85381-4846",623-876-3943,Other Medical,C
Banner Phoenix Surgery Center,"1111 E MCDOWELL RD, PHOENIX, AZ 85006-2612",602-368-3854,Other Medical,C
Banner Sun City West Surgery Center,"14416 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5284",623-285-1741,Other Medical,C
BANNER SURGERY CENTER - CAMELBACK,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-358-8512,Other Medical,C
BANNER SURGERY CENTER - DEER VALLEY,"20045 N 19TH AVE, PHOENIX, AZ 85027-4252",602-313-8110,Other Medical,C
BANNER SURGERY CENTER - MESA,"2626 E UNIVERSITY DR # SU, MESA, AZ 85213-8478",602-358-8512,Other Medical,C
BANNER SURGERY CENTER - SHEA PARK,"2222 E HIGHLAND AVE STE 100, PHOENIX, AZ 85016-4874",602-354-3242,Other Medical,C
BANNER SURGERY CENTER - SPORTS MEDICINE,"7400 N DOBSON RD STE 301, SCOTTSDALE, AZ 85256-2771",602-362-5107,Other Medical,C
BANNER SURGERY CENTER- IRONWOOD,"37200 N GANTZEL RD STE 10, QUEEN CREEK, AZ 85140-7368",602-358-8512,Other Medical,C
BANNER SURGERY CENTER- TEMPE,"1940 E SOUTHERN AVE, TEMPE, AZ 85282-7518",480-867-1649,Other Medical,C
Banner Surgery Center- Thunderbird Llc,"5555 W THUNDERBIRD RD, GLENDALE, AZ 85306-4622",602-607-5770,Other Medical,C
BANNER SURGERY CENTER-CHANDLER,"1125 S ALMA SCHOOL RD STE 1, CHANDLER, AZ 85286-2810",602-358-8512,Other Medical,C
Banner Union Hills Surgery Center,"18301 N 79TH AVE, GLENDALE, AZ 85308-8463",623-234-2294,Other Medical,C
BDPEC ASC MESA,"5250 E SOUTHERN AVE, MESA, AZ 85206-2747",602-598-7488,Other Medical,C
BDPEC ASC Phoenix,"4800 N 22ND ST, PHOENIX, AZ 85016-4701",480-890-3397,Other Medical,C
BDPEC ASC SUN CITY,"14820 N DEL WEBB BLVD, SUN CITY, AZ 85351-2146",602-955-1000,Other Medical,C
BEARDSLEY SURGERY CENTER,"20325 N 51ST AVE STE 102, GLENDALE, AZ 85308-5665",602-253-4271,Other Medical,C
BLOSSOM BIRTH CENTER,"2928 N 18TH PL, PHOENIX, AZ 85016-7705",602-256-7766,Other Medical,C
BLUE SPRIG PEDIATRICS INC,"3215 W RAY RD, CHANDLER, AZ 85226-2425",480-893-7685,Other Medical,C
"BLUE SPRIG PEDIATRICS, INC","14765 W MOUNTAIN VIEW BLVD # SUI, SURPRISE, AZ 85374-2704",602-649-0245,Other Medical,C
"BLUE SPRIG PEDIATRICS, INC","4170 N 108TH AVE, PHOENIX, AZ 85037-5469",480-751-1957,Other Medical,C
"BODYSCULPTING OUTPATIENT SURGERY CENTER, LLC","2255 N SCOTTSDALE RD, SCOTTSDALE, AZ 85257-2124",480-464-8000,Other Medical,C
BOYD INFUSION CENTER,"520 ROSE LN, WICKENBURG, AZ 85390-1447",928-668-1835,Other Medical,C
"BRIAN S PAGE DO, PLLC","3035 S ELLSWORTH RD STE 135, MESA, AZ 85212-2162",602-466-6350,Other Medical,C
"BRIAN S PAGE DO, PLLC","20325 N 51ST AVE STE 158, GLENDALE, AZ 85308-4622",480-470-2164,Other Medical,C
BUCKEYE SURGERY CENTER,"23480 NORTH SUNDANCE PARKWAY W, BUCKEYE, AZ 85326",623-250-4800,Other Medical,C
CANYON PAIN AND SPINE,"14445 W MCDOWELL RD, GOODYEAR, AZ 85395-2518",623-232-8787,Other Medical,C
CANYON PAIN AND SPINE,"6320 W UNION HILLS DR STE A270, GLENDALE, AZ 85308-7175",623-250-5288,Other Medical,C
CANYON PAIN AND SPINE,"10238 E HAMPTON AVE STE 416, MESA, AZ 85209-3320",480-550-9393,Other Medical,C
CANYON PAIN AND SPINE,"1425 S HIGLEY RD BLDG 9, GILBERT, AZ 85296-4798",480-550-9393,Other Medical,C
CANYON PAIN AND WELLNESS PLLC,"6120 W BELL RD STE 100, GLENDALE, AZ 85308-3780",602-325-2020,Other Medical,C
CANYON PAIN CENTER,"702 E BELL RD STE 112, PHOENIX, AZ 85022-6639",602-603-2282,Other Medical,C
Canyon Pain Surgery Center LLC,"4540 E BASELINE RD, MESA, AZ 85206-4613",480-561-0446,Other Medical,C
CANYON SURGERY CENTER,"6036 N 19TH AVE, PHOENIX, AZ 85015-2106",602-589-8000,Other Medical,C
CARDIAC CATH LAB OF PHOENIX,"1910 E THOMAS RD STE 1, PHOENIX, AZ 85016-7766",480-470-0003,Other Medical,C
"CARDIAC IMAGING, INC.","600 S 56TH ST STE 7, CHANDLER, AZ 85226-4207",800-998-2035,Other Medical,C
CARDIAC SURGERY CENTER OF ARIZONA LLC,"20199 N 67TH AVE, GLENDALE, AZ 85308-7001",623-561-9002,Other Medical,C
CARDIAC SURGERY CENTER OF PHOENIX,"1910 E THOMAS RD STE 1, PHOENIX, AZ 85016-7766",713-812-7586,Other Medical,C
Cardiovascular Associates Surgery And Electrophysi,"4838 E BASELINE RD STE 108, MESA, AZ 85206-4672",480-687-5045,Other Medical,C
CARDIOVASCULAR CONSULTANTS LTD - ARROWHEAD,"18700 N 64TH DR STE 1, GLENDALE, AZ 85308-7109",602-867-8644,Other Medical,C
CARDIOVASCULAR CONSULTANTS LTD - BELL ROAD,"3805 E BELL RD STE 310, PHOENIX, AZ 85032-2105",602-867-8644,Other Medical,C
CARDIOVASCULAR CONSULTANTS LTD - DEER VALLEY,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",602-867-8644,Other Medical,C
CARDIOVASCULAR CONSULTANTS LTD - NORTH SCOTTSDALE,"10210 N 92ND ST, SCOTTSDALE, AZ 85258-4509",602-867-8644,Other Medical,C
CARDIOVASCULAR CONSULTANTS LTD - THUNDERBIRD,"5422 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4700",602-867-8644,Other Medical,C
"CARDIOVASCULAR CONSULTANTS, LTD- SOUTH SCOTTSDALE","3501 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85251-5648",602-867-8644,Other Medical,C
CASA DE LA LUZ PALLIATIVE CARE,"2152 S VINEYARD STE 118, MESA, AZ 85210-6881",480-489-6169,Other Medical,C
CENTER FOR ADVANCED SURGERY,"3367 S MERCY RD STE 1, GILBERT, AZ 85297-7600",480-899-2571,Other Medical,C
"CENTER FOR CARDIOVASCULAR RESEARCH AND EDUCATION,","20565 N 19TH AVE, PHOENIX, AZ 85027-3563",602-714-8800,Other Medical,C
"CENTRAL ARIZONA ENDOSCOPY, LLC","2158 N GILBERT RD, MESA, AZ 85203-2109",480-751-3002,Other Medical,C
CENTRAL ARIZONA GI & LIVER INSTITUTE,"4001 E BASELINE RD, GILBERT, AZ 85234-2726",602-266-9711,Other Medical,C
CENTRAL PHOENIX SURGICAL CENTER,"5133 N CENTRAL AVE # SUI, PHOENIX, AZ 85012-1438",602-279-0044,Other Medical,C
CENTRAL SCOTTSDALE SURGERY CENTER,"3271 N CIVIC CENTER PLZ, SCOTTSDALE, AZ 85251-6990",480-814-9258,Other Medical,C
CHANDLER ENDOSCOPY CENTER,"2095 W PECOS RD STE A, CHANDLER, AZ 85224-5724",480-292-9795,Other Medical,C
"CHANDLER SURGICAL CENTER, PLC","600 S DOBSON RD STE B, CHANDLER, AZ 85224-5678",480-289-4550,Other Medical,C
CIRCLE THE CITY AFTER HOURS CLINIC- LDRC,"1125 W JACKSON ST, PHOENIX, AZ 85007-3110",623-900-2203,Other Medical,C
"CIRCLE THE CITY FAMILY HEALTH CENTER, DOWNTOWN CAM","220 S 12TH AVE, PHOENIX, AZ 85007-3101",602-690-0598,Other Medical,C
"CIRCLE THE CITY FAMILY HEALTH CENTER, UMOM CAMPUS","3333 E VAN BUREN ST, PHOENIX, AZ 85008-6812",623-900-2203,Other Medical,C
CIRCLE THE CITY MEDICAL RESPITE CENTER,"333 W INDIAN SCHOOL RD, PHOENIX, AZ 85013-3205",602-776-9000,Other Medical,C
CIRCLE THE CITY MEDICAL RESPITE DOWNTOWN CAMPUS,"210 S 12TH AVE, PHOENIX, AZ 85007-3101",602-254-4282,Other Medical,C
CLINIC FOR PAIN RELIEF PC,"10228 W COGGINS DR STE 1, SUN CITY, AZ 85351-3421",623-214-8800,Other Medical,C
CLINIVOY INFUSION CARE,"3308 N HIGLEY RD, MESA, AZ 85215-9781",844-243-7279,Other Medical,C
COMPASSUS- PHOENIX,"5333 N 7TH ST STE C1, PHOENIX, AZ 85014-2821",623-900-2645,Other Medical,C
"Comprehensive Surgical Care of Gilbert, LLC","838 W ELLIOT RD STE 102, GILBERT, AZ 85233-5162",480-374-7354,Other Medical,C
CORAM CVS/SPECIALTY INFUSION SERVICES,"4310 E COTTON CENTER BLVD, PHOENIX, AZ 85040-8857",401-765-1500,Other Medical,C
DEER VALLEY SURGICAL & ENDOSCOPY CENTER,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",602-633-3062,Other Medical,C
DEER VALLEY SURGICAL AND ENDOSCOPY CENTER,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",239-370-1845,Other Medical,C
DESERT CANYON SURGERY CENTER,"8960 E RAINTREE DR STE 110, SCOTTSDALE, AZ 85260-7030",480-590-2697,Other Medical,C
Desert Cliffs Surgery Center,"2250 W SOUTHERN AVE # SUI, MESA, AZ 85202-4736",480-404-6979,Other Medical,C
DESERT ENDOSCOPY CENTER,"603 W BASELINE RD, MESA, AZ 85210-6049",480-969-0405,Other Medical,C
DESERT INTERVENTIONAL SPINE CONSULTANTS,"1410 W GUADALUPE RD BLDG 4, GILBERT, AZ 85233-3003",480-838-1914,Other Medical,C
DESERT RIDGE OUTPATIENT SURGERY CENTER,"20940 N TATUM BLVD, PHOENIX, AZ 85050-4265",480-502-4000,Other Medical,C
DESERT VALLEY PALLATIVE CARE,"20045 N 19TH AVE STE 162, PHOENIX, AZ 85027-4254",602-296-4584,Other Medical,C
Desert Vista Surgical Center,"10117 N 92ND ST STE 103, SCOTTSDALE, AZ 85258-4555",480-576-8700,Other Medical,C
DHC ENDOSCOPY PLLC,"10104 W COGGINS DR, SUN CITY, AZ 85351-3490",623-209-8707,Other Medical,C
DIGESTIVE HEALTH SPECIALISTS ENDOSCOPY CENTER - AZ,"8573 E PRINCESS DR, SCOTTSDALE, AZ 85255-7819",480-563-5757,Other Medical,C
DISCOVER SURGICAL CENTER,"135 S POWER RD STE 11, MESA, AZ 85206-5245",775-772-7200,Other Medical,C
EAST THOMAS SURGERY CENTER LLC,"2629 N SCOTTSDALE RD, SCOTTSDALE, AZ 85257-1370",623-334-4000,Other Medical,C
EAST VALLEY AMBULATORY SURGICAL CENTER LLC,"2394 N ALMA SCHOOL RD, CHANDLER, AZ 85224-2425",480-963-0700,Other Medical,C
EAST VALLEY ENDOSCOPY,"6020 E ARBOR AVE, MESA, AZ 85206-6102",480-830-2005,Other Medical,C
"EAST VALLEY OUTPATIENT SURGERY, LLC","5620 E BROADWAY RD STE 1, MESA, AZ 85206-1438",480-739-1658,Other Medical,C
EAST VALLEY SURGERY CENTER,"1855 E SOUTHERN AVE, TEMPE, AZ 85282-5894",480-829-6100,Other Medical,C
ELITE PAIN AND SPINE INSTITUTE PLC,"1641 E OSBORN RD, PHOENIX, AZ 85016-7146",602-790-1177,Other Medical,C
"ELITE PAIN AND SPINE INSTITUTE, PLC","1810 S CRISMON RD, MESA, AZ 85209-3717",702-374-2910,Other Medical,C
"ELITE PAIN AND SPINE INSTITUTE, PLC","535 E MCKELLIPS RD, MESA, AZ 85203-2522",480-900-7373,Other Medical,C
"ENDOTECH, LLC","8841 E BELL RD, SCOTTSDALE, AZ 85260-1535",480-719-4750,Other Medical,C
EPIC SURGERY CENTER LLC,"16638 N 90TH ST, SCOTTSDALE, AZ 85260-1539",480-506-0484,Other Medical,C
"ETERNITY PALLIATIVE CARE, LLC","4140 N 108TH AVE STE 101, PHOENIX, AZ 85037-5466",623-738-7644,Other Medical,C
EXCEL SURGICAL CENTER LLC,"6424 E BROADWAY RD STE 10, MESA, AZ 85206-1750",480-634-4606,Other Medical,C
"EYE INSTITUTE AT BOSWELL, THE","10541 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3006",623-933-3402,Other Medical,C
Eye Surgery Center At The Biltmore,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-279-2434,Other Medical,C
FLEXCARE INFUSION CENTERS,"312 N ALMA SCHOOL RD # SU, CHANDLER, AZ 85224-4354",480-927-3800,Other Medical,C
FLEXCARE INFUSION CENTERS,"700 N ESTRELLA PKWY # SU, GOODYEAR, AZ 85338-9271",480-927-3800,Other Medical,C
FLEXCARE INFUSION CENTERS,"2451 E BASELINE RD STE 440, GILBERT, AZ 85234-2473",480-927-3800,Other Medical,C
FLEXCARE INFUSION CENTERS,"14869 W BELL RD STE 10, SUN CITY, AZ 85374-7608",480-927-3800,Other Medical,C
FLEXCARE INFUSION CENTERS,"8763 E BELL RD STE 102, SCOTTSDALE, AZ 85260-1318",480-927-3802,Other Medical,C
FORTITUDE SURGERY CENTER LLC,"5133 N CENTRAL AVE # SUI, PHOENIX, AZ 85012-1438",602-612-5535,Other Medical,C
FOUR PEAKS SURGERY CENTER,"9425 W BELL RD, SUN CITY, AZ 85351-1300",623-399-6880,Other Medical,C
FREEDOM SURGICAL CENTER,"17500 N PERIMETER DR # SU, SCOTTSDALE, AZ 85255-7800",623-241-6011,Other Medical,C
Gateway Surgery Center,"690 N COFCO CENTER CT, PHOENIX, AZ 85008-6462",602-288-4441,Other Medical,C
GILBERT FAMILY BIRTH CENTER,"875 N GREENFIELD RD # SUI, GILBERT, AZ 85234-5044",480-664-7463,Other Medical,C
GILBERTS PREMIER SURGICAL AMBULATORY LLC,"6424 E BROADWAY RD STE 102, MESA, AZ 85206-1750",480-634-4606,Other Medical,C
"GLENDALE SURGICAL CENTERS OF ARIZONA, LLC","16390 N 59TH AVE, GLENDALE, AZ 85306-1711",623-298-1820,Other Medical,C
GOODYEAR ABA THERAPY LLC,"4616 N 51ST AVE STE 2, PHOENIX, AZ 85031-1716",602-612-8776,Other Medical,C
GOODYEAR PAIN MANAGEMENT,"13555 W MCDOWELL RD, GOODYEAR, AZ 85395-2624",602-589-0500,Other Medical,C
"GYNESURGICAL, LLC","1008 E MCDOWELL RD, PHOENIX, AZ 85006-2603",602-254-6369,Other Medical,C
Hayden Surgical Center LLC,"10611 N HAYDEN RD, SCOTTSDALE, AZ 85260-8530",602-237-6340,Other Medical,C
"HEART AND VASCULAR SURGICAL CENTER, LLC","4860 E BASELINE RD, MESA, AZ 85206-4669",480-999-7081,Other Medical,C
"HEART HEALTH CENTER, LLC","1848 E THOMAS RD STE 2, PHOENIX, AZ 85016-8100",602-456-2342,Other Medical,C
HONOR HEALTH MEDICAL GROUP,"4025 W CHANDLER BLVD, CHANDLER, AZ 85226-3771",480-587-7434,Other Medical,C
HONORHEALTH CANCER TRANSPLANT INSTITUTE,"10460 N 92ND ST STE 300, SCOTTSDALE, AZ 85258-4547",480-323-1573,Other Medical,C
HONORHEALTH MEDICAL GROUP,"23015 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-4492",480-587-7456,Other Medical,C
HONORHEALTH MEDICAL GROUP,"20950 N TATUM BLVD # B, PHOENIX, AZ 85050-4200",480-587-7434,Other Medical,C
HONORHEALTH MEDICAL GROUP NEUROLOGY,"7242 E OSBORN RD STE 400, SCOTTSDALE, AZ 85251-6494",602-258-3354,Other Medical,C
HONORHEALTH NEUROLOGY SPECIALTY CLINIC,"7242 E OSBORN RD STE 2, SCOTTSDALE, AZ 85251-6487",480-583-3000,Other Medical,C
HONORHEALTH OUTPATIENT INFUSION AND IMAGING SERVIC,"6220 W BELL RD STE 110, GLENDALE, AZ 85308-3896",602-943-4269,Other Medical,C
HONORHEALTH OUTPATIENT INFUSION SERVICES,"7242 E OSBORN RD STE 340, SCOTTSDALE, AZ 85251-6494",602-358-2281,Other Medical,C
HONORHEALTH OUTPATIENT SURGERY CENTER,"9250 N 3RD ST STE 1, PHOENIX, AZ 85020-2437",623-687-0357,Other Medical,C
HONORHEALTH PAIN MANAGEMENT CENTER,"4727 E UNION HILLS DR, PHOENIX, AZ 85050-3387",602-293-3382,Other Medical,C
HONORHEALTH PULMONARY HYPERTENSION CLINIC,"9250 N 3RD ST STE 2, PHOENIX, AZ 85020-2437",602-786-0220,Other Medical,C
