Business Name,Address,Phone Number,Facility Type,Referral Priority
BANNER PHYSICAL THERAPY,"7400 N DOBSON RD STE 103, SCOTTSDALE, AZ 85256-2769",717-975-4556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-858-3307,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"20770 W MARKET ST STE 10, BUCKEYE, AZ 85396-8041",717-975-4556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"3507 S MERCY RD, GILBERT, AZ 85297-0441",480-926-0404,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"13951 W GRAND AVE, SURPRISE, AZ 85374-2436",623-537-9730,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"885 E WARNER RD, GILBERT, AZ 85296-3075",480-681-6400,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"37200 N GANTZEL RD, QUEEN CREEK, AZ 85140-7368",480-690-8080,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"9377 E BELL RD STE 349, SCOTTSDALE, AZ 85260-1502",717-975-4556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"211 N ESTRELLA PKWY, GOODYEAR, AZ 85338-9339",623-323-1010,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-512-8550,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"7430 E PINNACLE PEAK RD, SCOTTSDALE, AZ 85255-3630",717-972-1100,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"4232 E CHANDLER BLVD, PHOENIX, AZ 85048-8879",717-975-4559,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"2830 N 42ND ST, PHOENIX, AZ 85018",602-954-7742,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"23478 NORTH SUNDANCE PARKWAY W, BUCKEYE, AZ 85326",623-257-9462,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"20045 N 19TH AVE BLDG 8, PHOENIX, AZ 85027-4267",717-975-4556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"6320 W UNION HILLS DR # B, GLENDALE, AZ 85308-1096",717-972-1100,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"1309 N GREENFIELD RD # SU, MESA, AZ 85205-4009",717-972-1100,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"5002 S MILL AVE, TEMPE, AZ 85282-6828",602-512-8607,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",717-975-4556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"33777 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1569",717-972-1100,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY,"9321 W THOMAS RD STE 13, PHOENIX, AZ 85037-3387",623-264-6040,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY (036608),"25101 N LAKE PLEASANT PKWY, PEORIA, AZ 85383-1386",623-471-5550,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILIATION,"1661 E CAMELBACK RD, PHOENIX, AZ 85016-3911",602-955-8885,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"9917 N 95TH ST, SCOTTSDALE, AZ 85258-4586",480-314-1553,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"1255 W BASELINE RD, MESA, AZ 85202-5820",480-820-7675,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"4045 E BELL RD STE 150, PHOENIX, AZ 85032-2239",602-992-8352,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"5151 E BROADWAY RD, MESA, AZ 85206-1346",480-396-9922,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"5111 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85250-7075",480-314-1553,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"1729 W GREENTREE DR # SUI, TEMPE, AZ 85284-2710",480-785-1765,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"4344 W BELL RD STE 100, GLENDALE, AZ 85308-3589",602-548-9882,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"10165 E HAMPTON AVE # SU, MESA, AZ 85209-3327",480-354-5424,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2853 S SOSSAMAN RD STE A1, MESA, AZ 85212-9625",480-373-9700,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2942 N 7TH AVE, PHOENIX, AZ 85013-4179",602-277-0084,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"14001 N 7TH ST, PHOENIX, AZ 85022-4382",602-548-5445,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"1025 E BROADWAY RD, TEMPE, AZ 85282-1599",480-829-0217,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"9401 W THUNDERBIRD RD STE 1, PEORIA, AZ 85381-4233",623-977-5451,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"655 S DOBSON RD STE B, CHANDLER, AZ 85224-5667",480-732-0099,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2400 W DUNLAP AVE, PHOENIX, AZ 85021-2817",602-870-1414,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"13055 W MCDOWELL RD, AVONDALE, AZ 85392-6449",623-547-4787,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"10750 W MCDOWELL RD, AVONDALE, AZ 85392-5960",623-907-0746,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"5605 W EUGIE AVE, GLENDALE, AZ 85304-1272",480-210-6445,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-888-3700,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"4015 S ARIZONA AVE # SUI, CHANDLER, AZ 85248-4586",480-426-8019,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",623-888-3502,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"20851 E RITTENHOUSE RD, QUEEN CREEK, AZ 85142-4493",480-677-3294,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"14418 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5283",623-888-3450,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",480-462-3880,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"755 E MCDOWELL RD, PHOENIX, AZ 85006-2506",480-210-6556,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"1972 E BASELINE RD, TEMPE, AZ 85283-1532",480-730-0501,Rehab / Inpatient Rehab,A
BANNER PHYSICAL THERAPY AND REHABILITATION,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-813-7900,Rehab / Inpatient Rehab,A
BANNER THUNDERBIRD MEDICAL CENTER - BANNER INFUSIO,"13041 N DEL WEBB BLVD STE 10, SUN CITY, AZ 85351-3034",602-865-5058,Hospital,A
BANNER THUNDERBIRD MEDICAL CENTER - BANNER MD ANDE,"13041 N DEL WEBB BLVD STE 200, SUN CITY, AZ 85351-3034",623-832-0300,Hospital,A
BANNER THUNDERBIRD MEDICAL CENTER ADULT AND PEDIAT,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",602-865-3600,Hospital,A
BANNER UNIVERSITY MEDICAL CENTER PHOENIX - BANNER-,"4200 E CAMELBACK RD STE 202, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,A
BANNER- UNIVERSITY MEDICAL CENTER PHOENIX - BANNER,"4200 E CAMELBACK RD STE 201, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,A
BANNER- UNIVERSITY MEDICAL CENTER PHOENIX-BANNER M,"925 E MCDOWELL RD, PHOENIX, AZ 85006-2502",623-832-0317,Hospital,A
BANNER- UNIVERSITY ORTHOPEDICS AND SPORTS MEDICINE,"7400 N DOBSON RD STE 201, SCOTTSDALE, AZ 85256-2770",480-733-7400,Orthopedic,A
BARROW BRIDGE NEURO-REHABILITATION,"222 W THOMAS RD STE 30, PHOENIX, AZ 85013-4419",602-406-5001,Rehab / Inpatient Rehab,A
BARROW CENTER FOR TRANSITIONAL NEURO-REHABILITATI,"222 W THOMAS RD STE 40, PHOENIX, AZ 85013-4419",602-406-3473,Rehab / Inpatient Rehab,A
BARROW MOVEMENT DISORDERS OUTPATIENT NEURO-REHABIL,"240 W THOMAS RD STE 303, PHOENIX, AZ 85013-4407",602-406-4324,Rehab / Inpatient Rehab,A
BARROW OUTPATIENT NEURO-REHABILITATION CENTER -,"222 W THOMAS RD STE 11, PHOENIX, AZ 85013-4419",602-406-3726,Rehab / Inpatient Rehab,A
BARROW OUTPATIENT NEURO-REHABILITATION CENTER-NO,"222 W THOMAS RD STE 10, PHOENIX, AZ 85013-4419",602-406-3726,Rehab / Inpatient Rehab,A
BEATITUDES CAMPUS OUTPATIENT REHAB TREATMENT CENTE,"1668 W GLENDALE AVE, PHOENIX, AZ 85021-8971",602-995-2611,Rehab / Inpatient Rehab,A
BELLA VITA HEALTHCARE & REHABILITATION CENTER,"5125 N 58TH AVE, GLENDALE, AZ 85301-7453",623-931-5800,Rehab / Inpatient Rehab,A
BHSM REHABILITATION LLC,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-813-7900,Rehab / Inpatient Rehab,A
CAMELBACK POST ACUTE CARE AND REHABILITATION,"4635 N 14TH ST, PHOENIX, AZ 85014-4016",602-264-9039,Rehab / Inpatient Rehab,A
CHILDREN'S REHABILITATIVE SERVICES,"3141 N 3RD AVE STE 1, PHOENIX, AZ 85013-4360",602-470-5502,Rehab / Inpatient Rehab,A
CHRISTIAN CARE OUTPATIENT REHAB CENTER,"11830 N 19TH AVE, PHOENIX, AZ 85029-3519",602-443-5447,Rehab / Inpatient Rehab,A
CHRISTIAN CARE OUTPATIENT REHAB CENTER,"16640 N SARIVAL RD, SURPRISE, AZ 85388-2202",623-300-9401,Rehab / Inpatient Rehab,A
CHRISTIAN CARE OUTPATIENT REHAB CLINIC,"118 S 70TH ST, MESA, AZ 85208-1007",480-654-1800,Rehab / Inpatient Rehab,A
CHRISTIAN CARE OUTPATIENT REHAB CLINIC,"155 W BROWN RD, MESA, AZ 85201-3427",480-290-7952,Rehab / Inpatient Rehab,A
COMMUNITY HOSPITAL CLINIC - SURGEONS,"521 ROSE LN, WICKENBURG, AZ 85390-1448",928-668-5506,Hospital,A
COMMUNITY HOSPITAL CLINIC - WICKENBURG,"523 ROSE LN, WICKENBURG, AZ 85390-1448",928-668-1833,Hospital,A
COMMUNITY HOSPITAL CLINIC - WITTMANN,"32919 N CENTER ST # SUI, WITTMANN, AZ 85361-9433",928-668-1845,Hospital,A
CONCENTRA MEDICAL CENTER - SHAMROCK ONSITE,"2926 W ENCANTO BLVD, PHOENIX, AZ 85009-1614",717-884-7414,Hospital,A
CONCENTRA MEDICAL CENTERS - ESTRELLA,"2010 N 75TH AVE, PHOENIX, AZ 85035-3247",717-972-1100,Hospital,A
CONCENTRA MEDICAL CENTERS - RIO SALADO,"1626 S PRIEST DR, TEMPE, AZ 85281-6597",480-921-2273,Hospital,A
CONCENTRA MEDICAL CENTERS - SCOTTSDALE,"10335 N SCOTTSDALE RD, SCOTTSDALE, AZ 85253-1435",480-991-9358,Hospital,A
DESERT HAND AND PHYSICAL THERAPY,"20330 N CAVE CREEK RD, PHOENIX, AZ 85024-4465",713-297-7000,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY,"1860 N 95TH LN, PHOENIX, AZ 85037-4324",713-297-7000,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY,"14239 W BELL RD STE 11, SURPRISE, AZ 85374-2469",623-544-1631,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY,"3104 E INDIAN SCHOOL RD, PHOENIX, AZ 85016-6889",713-297-7051,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",602-843-9945,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY,"2195 W CHANDLER BLVD, CHANDLER, AZ 85224-6579",713-297-7000,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY - GOODYEAR,"790 N ESTRELLA PKWY # SU, GOODYEAR, AZ 85338-9289",602-277-3686,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY - MESA,"7165 E UNIVERSITY DR, MESA, AZ 85207-6400",713-297-7020,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY - PEORIA,"10184 W HAPPY VALLEY PKWY, PEORIA, AZ 85383-1254",623-907-2820,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY- GILBERT,"1489 S HIGLEY RD, GILBERT, AZ 85296-4776",602-277-3686,Rehab / Inpatient Rehab,A
DESERT HAND AND PHYSICAL THERAPY- LAVEEN,"5030 W BASELINE RD STE A, LAVEEN, AZ 85339-7331",602-264-6068,Rehab / Inpatient Rehab,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1833 N POWER RD, MESA, AZ 85205-3799",480-398-7340,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"2977 E GERMANN RD, CHANDLER, AZ 85286-1586",480-732-7540,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"251 N ESTRELLA PKWY, GOODYEAR, AZ 85338-9334",623-322-6900,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"14267 W BELL RD, SURPRISE, AZ 85374-2466",623-546-5340,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"5125 S RURAL RD, TEMPE, AZ 85282-7008",480-306-8780,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1910 S GILBERT RD, MESA, AZ 85204-6808",623-584-5100,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1064 E RAY RD, CHANDLER, AZ 85225-1542",480-494-5100,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"5171 W OLIVE AVE, GLENDALE, AZ 85302-4204",602-900-4780,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"4760 E GERMANN RD, GILBERT, AZ 85297-0205",480-494-5000,Hospital,A
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"4328 E CHANDLER BLVD, PHOENIX, AZ 85048-8839",480-454-3630,Hospital,A
EL MIRAGE EMERGENCY ROOM & MEDICAL CENTER,"12000 N EL MIRAGE RD, EL MIRAGE, AZ 85335-3287",602-214-8061,Hospital,A
FOUNTAIN HILLS MEDICAL CENTER EMERGENCY ROOM,"9700 N SAGUARO BLVD, FOUNTAIN HILLS, AZ 85268-6241",602-671-7990,Hospital,A
HEALTHPRO HERITAGE REHAB & FITNESS LLC,"9160 E DESERT COVE AVE, SCOTTSDALE, AZ 85260-6244",480-327-4391,Rehab / Inpatient Rehab,A
HONOR HEALTH WOUND CARE SERVICES - DEER VALLEY,"19636 N 27TH AVE STE 201, PHOENIX, AZ 85027-4015",623-516-4400,Wound Care,A
HONORHEALTH CARDIAC REHAB CENTER,"9201 E MOUNTAIN VIEW RD, SCOTTSDALE, AZ 85258-5199",480-323-4603,Rehab / Inpatient Rehab,A
HONORHEALTH CARDIAC REHAB CENTER,"19636 N 27TH AVE, PHOENIX, AZ 85027-4013",480-323-3539,Rehab / Inpatient Rehab,A
"HONORHEALTH CARDIAC REHAB, THERAPY SERVICES AND WO","9202 N 2ND ST, PHOENIX, AZ 85020-2458",480-318-1317,Rehab / Inpatient Rehab,A
HONORHEALTH WOUND CARE SERVICES,"20401 N 73RD ST, SCOTTSDALE, AZ 85255-4107",480-324-7815,Wound Care,A
HORIZON POST ACUTE AND REHABILITATION,"4704 W DIANA AVE, GLENDALE, AZ 85302-5125",623-247-3949,Rehab / Inpatient Rehab,A
"INNOVATIVE WOUND SOLUTIONS, LLC","10210 N 92ND ST, SCOTTSDALE, AZ 85258-4509",480-493-0900,Wound Care,A
MBI PHYSICAL THERAPY,"14425 W MCDOWELL RD, GOODYEAR, AZ 85395-2516",602-374-6814,Rehab / Inpatient Rehab,A
MIRANDA PHYSICAL THERAPY,"5815 N BLACK CANYON HWY, PHOENIX, AZ 85015-2250",602-249-0607,Rehab / Inpatient Rehab,A
MONTECITO POST ACUTE CARE AND REHABILITATION,"51 S 48TH ST, MESA, AZ 85206-1250",480-832-8333,Rehab / Inpatient Rehab,A
MOVE HUMAN PERFORMANCE AND PHYSICAL THERAPY,"375 E ELLIOT RD STE 7, CHANDLER, AZ 85225-1122",480-516-5815,Rehab / Inpatient Rehab,A
ORTHOARIZONA SCOTTSDALE SURGERY CENTER,"8405 N PIMA CENTER PKWY, SCOTTSDALE, AZ 85258-4668",239-370-1845,Orthopedic,A
ORTHOARIZONA SURGERY CENTER GILBERT,"1675 E MELROSE ST STE 20, GILBERT, AZ 85297-1001",480-519-8100,Orthopedic,A
ORTHOPEDIC INSTITUTE OF THE WEST,"6950 E CHAUNCEY LN, PHOENIX, AZ 85054-5178",602-726-8806,Orthopedic,A
"ORTHOPEDIC SURGERY CENTER OF ARIZONA, THE","2262 E ROSE GARDEN LN, PHOENIX, AZ 85024-4497",615-240-3820,Orthopedic,A
PHOENICIAN MEDICAL CENTER,"2226 W NORTHERN AVE, PHOENIX, AZ 85021-4970",480-963-1853,Hospital,A
PHOENICIAN MEDICAL CENTER,"1343 N ALMA SCHOOL RD, CHANDLER, AZ 85224-5941",480-963-1853,Hospital,A
PHOENIX CHILDREN'S HOSPITAL ROSENBERG CENTER,"1920 E CAMBRIDGE AVE # SU, PHOENIX, AZ 85006-1459",602-546-0200,Hospital,A
PHOENIX CHILDREN'S HOSPITAL ROSENBERG CENTER-ENDOC,"1920 E CAMBRIDGE AVE # SU, PHOENIX, AZ 85006-1459",602-933-0935,Hospital,A
PHOENIX CHILDREN'S HOSPITAL ROSENBERG CTR DERMATOL,"1920 E CAMBRIDGE AVE # SU, PHOENIX, AZ 85006-1459",602-546-4700,Hospital,A
PHOENIX CHILDREN'S HOSPITAL SPECIALTY CARE- PEDIAT,"1920 E CAMBRIDGE AVE # SU, PHOENIX, AZ 85006-1459",602-279-1697,Hospital,A
PHOENIX CHILDREN'S HOSPITAL-UMOM WELLNESS CENTER,"3333 E VAN BUREN ST, PHOENIX, AZ 85008-6812",602-933-0930,Hospital,A
PHOENIX CHILDREN'S MERCY GILBERT MEDICAL CENTER,"3420 S MERCY RD, GILBERT, AZ 85297-0419",602-933-9880,Hospital,A
PHOENIX CHILDREN'S OUTPATIENT REHAB CTR AT MERCY G,"3420 S MERCY RD, GILBERT, AZ 85297-0419",602-933-9880,Rehab / Inpatient Rehab,A
PHOENIX CHILDREN'S SPORTS MED PHYSICAL THERAPY- PE,"18969 N 83RD AVE STE 4, PEORIA, AZ 85382-2844",602-933-1000,Rehab / Inpatient Rehab,A
PHOENIX CHILDREN'S SPORTSMED PHYSICAL THERAPY - AV,"765 N 114TH AVE, AVONDALE, AZ 85323-5002",602-933-0930,Rehab / Inpatient Rehab,A
PHOENIX CHILDREN'S SPORTSMED PHYSICAL THERAPY-GILB,"3530 S VAL VISTA DR # SU, GILBERT, AZ 85297-7318",602-933-1000,Rehab / Inpatient Rehab,A
PHOENIX CHILDREN'S SPORTSMED PHYSICAL THERAPY-PARA,"4215 E BELL RD STE 100, PHOENIX, AZ 85032-2214",602-933-1000,Rehab / Inpatient Rehab,A
POWERBACK REHABILITATION LLC,"16455 EAST AVENUE OF THE FOUNT, FOUNTAIN HILLS, AZ 85268",480-837-2023,Rehab / Inpatient Rehab,A
PREMIER MEDICAL CENTER LLC,"2225 W PEORIA AVE STE 160, PHOENIX, AZ 85029-4938",623-299-2800,Hospital,A
"PRIORITY MEDICAL CENTER, INC","4340 W MCDOWELL RD, PHOENIX, AZ 85035-4225",602-272-5289,Hospital,A
REGENERATIVE ORTHOPAEDIC MEDICINE,"8580 E SHEA BLVD, SCOTTSDALE, AZ 85260-6685",602-931-9424,Orthopedic,A
RIO VISTA POST ACUTE AND REHABILITATION,"10323 W OLIVE AVE, PEORIA, AZ 85345-7345",623-875-0100,Rehab / Inpatient Rehab,A
"RWW HOME & COMMUNITY REHAB SERVICES, INC","7500 N DREAMY DRAW DR, PHOENIX, AZ 85020-4660",602-943-1012,Rehab / Inpatient Rehab,A
"RWW OUTPATIENT REHAB SERVICES, LLC","13481 W MCDOWELL RD STE 300, GOODYEAR, AZ 85395-2724",844-243-4998,Rehab / Inpatient Rehab,A
SANA PHYSICAL THERAPY,"8035 E BROWN RD, MESA, AZ 85207-3901",480-686-8540,Rehab / Inpatient Rehab,A
SCNM MEDICAL CENTER,"2164 E BROADWAY RD, TEMPE, AZ 85282-1766",480-970-0000,Hospital,A
SHEA POST ACUTE REHABILITATION CENTER,"11150 N 92ND ST, SCOTTSDALE, AZ 85260-6150",480-860-1766,Rehab / Inpatient Rehab,A
ST JOSEPH'S HOSPITAL & MEDICAL CENTER OUTPATIENT I,"500 W THOMAS RD STE 65, PHOENIX, AZ 85013-4224",602-406-3061,Hospital,A
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER OUTPATIENT,"114 W THOMAS RD, PHOENIX, AZ 85013-4405",602-406-3230,Hospital,A
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER- EMERGENCY,"17040 N 51ST AVE, GLENDALE, AZ 85308-1495",602-406-3000,Hospital,A
STI PHYSICAL THERAPY & REHAB-NORTH PHOENIX,"17233 N HOLMES BLVD, PHOENIX, AZ 85053-2018",602-547-1836,Rehab / Inpatient Rehab,A
STI PHYSICAL THERAPY & REHABILITATION - ARCADIA,"4801 E MCDOWELL RD, PHOENIX, AZ 85008-7725",602-956-2850,Rehab / Inpatient Rehab,A
STI PHYSICAL THERAPY & REHABILITATION-SUN CITY,"14802 N DEL WEBB BLVD, SUN CITY, AZ 85351-2146",623-977-2980,Rehab / Inpatient Rehab,A
STI PHYSICAL THERAPY AND REHAB - CENTRAL PHOENIX,"444 W OSBORN RD STE 30, PHOENIX, AZ 85013-3814",602-279-8022,Rehab / Inpatient Rehab,A
STI PHYSICAL THERAPY AND REHABILITATION - MESA,"1941 W GUADALUPE RD, MESA, AZ 85202-7482",480-491-3563,Rehab / Inpatient Rehab,A
STI PHYSICAL THERAPY AND REHABILITATION - WEST PHX,"9150 W INDIAN SCHOOL RD, PHOENIX, AZ 85037-2384",623-931-3838,Rehab / Inpatient Rehab,A
SUN HEALTH LA LOMA OUTPATIENT REHABILITATION CENTE,"14260 W DENNY BLVD, LITCHFIELD PARK, AZ 85340-9643",623-537-7444,Rehab / Inpatient Rehab,A
SUNVIEW RESPIRATORY AND REHABILITATION,"12207 N 113TH AVE, YOUNGTOWN, AZ 85363-1208",623-977-6532,Rehab / Inpatient Rehab,A
SURPRISE HEALTH AND REHABILITATION CENTER,"14660 W PARKWOOD DR, SURPRISE, AZ 85374-4590",623-546-5030,Rehab / Inpatient Rehab,A
SWAN REHAB,"1190 E MISSOURI AVE # SUI, PHOENIX, AZ 85014-2734",800-622-4088,Rehab / Inpatient Rehab,A
TEMPE ST LUKE'S HOSPITAL WOUND CENTER,"1492 S MILL AVE, TEMPE, AZ 85281-5652",480-333-5152,Hospital,A
"TERRACES OF PHOENIX OUTPATIENT REHAB, THE","7550 N 16TH ST, PHOENIX, AZ 85020-4618",602-371-4100,Rehab / Inpatient Rehab,A
TOPS PHYSICAL THERAPY LLC,"5353 N 16TH ST STE 1, PHOENIX, AZ 85016-3224",602-826-0037,Rehab / Inpatient Rehab,A
VIBRANTCARE OUTPATIENT REHAB WEST INC (036541),"5601 W EUGIE AVE, GLENDALE, AZ 85304-1255",602-843-8436,Rehab / Inpatient Rehab,A
"VIBRANTCARE OUTPATIENT REHAB WEST, INC (036541)","402 E GREENWAY PKWY # SUI, PHOENIX, AZ 85022-2350",602-789-6878,Rehab / Inpatient Rehab,A
"VIBRANTCARE OUTPATIENT REHAB WEST, INC (036541)","5440 E SOUTHERN AVE # SUI, MESA, AZ 85206-2779",480-641-3533,Rehab / Inpatient Rehab,A
