Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
ASU HEALTH SERVICES - WEST CAMPUS,"4701 W THUNDERBIRD RD # UC, GLENDALE, AZ 85306-4900",602-543-8019,Hospital,High,Other Medical,Low
BANNER CHILDREN'S - BANNER HEALTH CLINIC,"3493 S MERCY RD, GILBERT, AZ 85297-0434",480-827-5042,Hospital,High,Other Medical,Low
BANNER CHILDREN'S - BANNER HEALTH CLINIC,"1450 S DOBSON RD, MESA, AZ 85202-4712",480-827-5044,Hospital,High,Other Medical,Low
BANNER CHILDREN'S - BANNER HEALTH CLINIC,"1220 S HIGLEY RD, MESA, AZ 85206-4000",480-827-5045,Hospital,High,Other Medical,Low
BANNER CHILDREN'S - BANNER HEALTH CLINIC,"1075 S IDAHO RD STE 2, APACHE JUNCTION, AZ 85119-6496",602-747-4000,Hospital,High,Other Medical,Low
BANNER CHILDREN'S - BANNER HEALTH CLINIC,"1760 EAST FLORENCE BOULEVARD, , CASA GRANDE, 85222",520-374-6505,Hospital,High,Other Medical,Low
BANNER HEALTH,"680 E DEUCE OF CLUBS STE B, SHOW LOW, AZ 85901-4829",928-596-4580,Hospital,High,Other Medical,Low
BANNER HEALTH,"2800 E AJO WAY BLDG 200, TUCSON, AZ 85713-6204",520-874-9000,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"9165 W THUNDERBIRD RD, PEORIA, AZ 85381-4847",623-285-1120,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"13640 N PLAZA DEL RIO BLVD, PEORIA, AZ 85381-4846",623-876-3800,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"14416 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5284",623-876-3800,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"155 E WARNER RD, GILBERT, AZ 85296-3082",480-649-6600,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"9780 S ESTRELLA PKWY, GOODYEAR, AZ 85338-7114",623-474-8101,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"1435 S ALMA SCHOOL RD, CHANDLER, AZ 85286-7144",480-668-1600,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"20751 W MARKET ST, BUCKEYE, AZ 85396-7893",623-463-5000,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"1917 S CRISMON RD, MESA, AZ 85209-6216",480-610-7100,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"7701 W ASPERA BLVD # SU, GLENDALE, AZ 85308-7947",623-248-2100,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"21772 S ELLSWORTH LOOP RD, QUEEN CREEK, AZ 85142-7709",480-512-3700,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"17900 N PORTER RD, MARICOPA, AZ 85138-4228",602-747-6365,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"13995 W STATLER BLVD, SURPRISE, AZ 85374-5501",623-478-3100,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"4720 E GREENWAY RD, PHOENIX, AZ 85032-4355",602-439-6000,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER,"4375 E IRMA LN, PHOENIX, AZ 85050-4312",602-747-4000,Hospital,High,Other Medical,Low
BANNER HEALTH CENTER RAINTREE,"8901 E RAINTREE DR, SCOTTSDALE, AZ 85260-7026",480-733-7600,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1125 S ALMA SCHOOL RD STE 310, CHANDLER, AZ 85286-2812",480-733-7305,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"9305 W THOMAS RD STE 3, PHOENIX, AZ 85037-3328",623-327-4144,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1520 S DOBSON RD, MESA, AZ 85202-4725",602-462-0480,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"14420 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5286",623-583-5300,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"6553 E BAYWOOD AVE, MESA, AZ 85206-1752",480-543-6880,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1520 S DOBSON RD, MESA, AZ 85202-4725",480-412-8080,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"37100 N GANTZEL RD, QUEEN CREEK, AZ 85140-7349",602-747-4000,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"122 E MAIN ST, PAYSON, AZ 85541-5574",928-596-4600,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"120 E MAIN ST STE A, PAYSON, AZ 85541-5618",928-474-9744,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"37100 N GANTZEL RD, SAN TAN VALLEY, AZ 85140-7349",480-394-4469,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"6750 E BAYWOOD AVE, MESA, AZ 85206-1749",480-543-3030,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"3235 N HUNT HWY, FLORENCE, AZ 85132-6897",520-233-2770,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-876-4006,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"9305 W THOMAS RD STE 3, PHOENIX, AZ 85037-3328",623-327-8200,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1811 E MCMURRAY BLVD, CASA GRANDE, AZ 85122-5404",520-374-6530,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6912,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"4530 E RAY RD STE 190, PHOENIX, AZ 85044-6098",480-827-5420,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",602-298-8888,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1300 S COUNTRY CLUB DR, MESA, AZ 85210-5162",480-827-5500,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",623-476-5190,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"5601 W EUGIE AVE, GLENDALE, AZ 85304-1255",602-298-8888,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1920 N HIGLEY RD STE 306, GILBERT, AZ 85234-1625",480-543-6700,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"6553 E BAYWOOD AVE, MESA, AZ 85206-1752",480-543-6750,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"126 E MAIN ST STE D, PAYSON, AZ 85541-5488",602-747-4000,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1920 N HIGLEY RD, GILBERT, AZ 85234-1623",480-543-6700,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1920 N HIGLEY RD, GILBERT, AZ 85234-1623",480-543-6600,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"4860 N LITCHFIELD RD # SU, LITCHFIELD PARK, AZ 85340-5040",623-474-8370,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"28471 N VISTANCIA BLVD, PEORIA, AZ 85383-2092",623-327-8800,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"13943 N 91ST AVE STE B101, PEORIA, AZ 85381-3688",623-476-5190,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC,"1125 S ALMA SCHOOL RD, CHANDLER, AZ 85286-2810",480-733-7300,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC - CASA GRANDE PRIMARY CARE,"1780 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4782",520-381-6090,Hospital,High,Other Medical,Low
BANNER HEALTH CLINIC VASCULAR,"1940 N ALMA SCHOOL RD, CHANDLER, AZ 85224-2841",480-890-0280,Hospital,High,Other Medical,Low
BENSON FAMILY HEALTH CENTER,"335 S OCOTILLO AVE, BENSON, AZ 85602",520-364-1429,Hospital,High,Other Medical,Low
BISBEE FAMILY HEALTH CENTER,"108 ARIZONA ST, BISBEE, AZ 85603-1804",520-432-3309,Hospital,High,Other Medical,Low
BLACK CANYON COMMUNITY HEALTH CENTER,"17301 E SPRING VALLEY RD, SPRING VALLEY, AZ 86333-4263",623-374-0200,Hospital,High,Other Medical,Low
BLACK CANYON COMMUNITY HEALTH CENTER,"19251 E OASIS DR, BLACK CANYON CITY, AZ 85324-8878",623-374-0200,Hospital,High,Other Medical,Low
CANYON HEALTH CENTERS LLC,"333 W THOMAS RD, PHOENIX, AZ 85013-4417",917-753-3850,Hospital,High,Other Medical,Low
"CANYON HEALTH CENTERS, LLC","333 W THOMAS RD STE 20, PHOENIX, AZ 85013-4417",917-753-3850,Hospital,High,Other Medical,Low
CHIRICAHUA COMMUNITY HEALTH CENTER INC,"1111 N F AVE, DOUGLAS, AZ 85607-1918",520-364-1429,Hospital,High,Other Medical,Low
CHIRICAHUA COMMUNITY HEALTH CENTERS INC,"77 CALLE PORTAL STE A140, SIERRA VISTA, AZ 85635-2988",520-364-1429,Hospital,High,Other Medical,Low
CHIRICAHUA COMMUNITY HEALTH CENTERS SIERRA VISTA,"155 CALLE PORTAL STE 300, SIERRA VISTA, AZ 85635-2900",520-459-3012,Hospital,High,Other Medical,Low
"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC","77 CALLE PORTAL STE C240, SIERRA VISTA, AZ 85635-2986",520-364-1429,Hospital,High,Other Medical,Low
"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC, CCHCI","155 CALLE PORTAL STE 700, SIERRA VISTA, AZ 85635-2973",520-364-1429,Hospital,High,Other Medical,Low
"CIRCLE THE CITY FAMILY HEALTH CENTER, D/T CAMPUS","220 S 12TH AVE, PHOENIX, AZ 85007-3101",602-776-0776,Hospital,High,Other Medical,Low
"CIRCLE THE CITY FAMILY HEALTH CENTER, DOWNTOWN CAM","220 S 12TH AVE, PHOENIX, AZ 85007-3101",602-690-0598,Hospital,High,Other Medical,Low
"CIRCLE THE CITY FAMILY HEALTH CENTER, UMOM CAMPUS","3333 E VAN BUREN ST, PHOENIX, AZ 85008-6812",623-900-2203,Hospital,High,Other Medical,Low
CIRCLE THE CITY MEDICAL RESPITE DOWNTOWN CAMPUS,"210 S 12TH AVE, PHOENIX, AZ 85007-3101",602-254-4282,Hospital,High,Other Medical,Low
CLINICA DEL ALMA HEALTH CENTER,"3690 S PARK AVE, TUCSON, AZ 85713-5069",520-616-6760,Hospital,High,Other Medical,Low
DESERT SENITA COMMUNITY HEALTH CENTER,"1435 N ARIZONA BLVD, COOLIDGE, AZ 85128-3214",520-387-5631,Hospital,High,Other Medical,Low
DESERT SENITA COMMUNITY HEALTH CENTER,"410 N MALACATE ST, AJO, AZ 85321-2254",520-387-5651,Hospital,High,Other Medical,Low
DESERT SENITA COMMUNITY HEALTH CENTER,"14574 S SUNLAND GIN RD, ARIZONA CITY, AZ 85123",520-387-5651,Hospital,High,Other Medical,Low
DESERT SENITA COMMUNITY HEALTH CENTER,"13060 S SUNLAND GIN RD, ARIZONA CITY, AZ 85123-8448",520-387-5651,Hospital,High,Other Medical,Low
DESERT SENITA HEALTH CARE CENTER,"515 S STANFIELD RD, STANFIELD, AZ 85172-9687",520-387-5651,Rehab,High,Other Medical,Low
DEVEREUX ARIZONA - SWEETWATER CAMPUS,"6436 E SWEETWATER AVE, SCOTTSDALE, AZ 85254-4581",623-633-3418,Hospital,High,Other Medical,Low
DOVE MOUNTAIN HEALTH CENTER,"5224 W DOVE CENTRE RD, MARANA, AZ 85658-5063",520-616-1445,Hospital,High,Other Medical,Low
EAST SIDE HEALTH CENTER,"8181 E IRVINGTON RD, TUCSON, AZ 85709-4000",520-574-1551,Hospital,High,Other Medical,Low
EL PUEBLO HEALTH CENTER,"101 W IRVINGTON RD STE 10, TUCSON, AZ 85714-3050",520-309-3941,Hospital,High,Other Medical,Low
EL RIO COMMUNITY HEALTH CENTER - SOUTHEAST,"6950 E GOLF LINKS RD, TUCSON, AZ 85730-1017",520-309-2012,Hospital,High,Other Medical,Low
EL RIO HEALTH CENTER - CHERRYBELL CENTER,"1230 S CHERRYBELL STRA, TUCSON, AZ 85713-1907",520-282-0367,Hospital,High,Other Medical,Low
EL RIO HEALTH CENTER- CENTER OF OPPORTUNITY,"4550 S PALO VERDE RD, TUCSON, AZ 85714-1943",520-282-0367,Hospital,High,Other Medical,Low
EL RIO HEALTH CENTER-SUMMIT ELEMENTARY,"1900 E SUMMIT ST, TUCSON, AZ 85756-9127",520-545-3860,Hospital,High,Other Medical,Low
EL RIO NORTHWEST HEALTH CENTER,"320 W PRINCE RD, TUCSON, AZ 85705-3526",520-670-3909,Hospital,High,Other Medical,Low
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC","839 W CONGRESS ST, TUCSON, AZ 85745-2819",520-309-2012,Hospital,High,Other Medical,Low
EL RIO SOUTHWEST HEALTH CENTER,"1500 W COMMERCE CT, TUCSON, AZ 85746-6031",520-282-0367,Hospital,High,Other Medical,Low
ELLIE TOWNE HEALTH CENTER,"1670 W RUTHRAUFF RD, TUCSON, AZ 85705-1253",520-616-6797,Hospital,High,Other Medical,Low
FLOWING WELLS FAMILY HEALTH CENTER,"1323 W PRINCE RD, TUCSON, AZ 85705-3114",520-887-0800,Hospital,High,Other Medical,Low
FREEDOM CARE CENTER,"17500 N PERIMETER DR, SCOTTSDALE, AZ 85255-7800",602-748-6789,Rehab,High,Other Medical,Low
GRANDVIEW CARE CENTER OUTPATIENT CLINIC,"14505 W GRANITE VALLEY DR, SUN CITY WEST, AZ 85375-5795",623-975-8030,Rehab,High,Other Medical,Low
GRANDVIEW CARE CENTER OUTPATIENT CLINIC,"14505 W GRANITE VALLEY DR, SUN CITY WEST, AZ 85375-5795",623-975-8100,Rehab,High,Other Medical,Low
GRANT HEALTH CENTER,"3655 E GRANT RD, TUCSON, AZ 85716-2933",520-309-6797,Hospital,High,Other Medical,Low
"HEART HEALTH CENTER, LLC","1848 E THOMAS RD STE 2, PHOENIX, AZ 85016-8100",602-456-2342,Hospital,High,Other Medical,Low
HERITAGE HEALTH CARE CENTER,"1300 E SOUTH ST, GLOBE, AZ 85501-1436",928-425-3118,Rehab,High,Other Medical,Low
HONORHEALTH CANCER CARE,"1110 S DOBSON RD STE 1, CHANDLER, AZ 85286-6164",623-238-7540,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"3645 S ROME ST STE 209, GILBERT, AZ 85297-7338",623-238-7370,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",815-541-2507,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"9250 N 3RD ST STE 3010, PHOENIX, AZ 85020-2425",310-909-3898,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"3621 N WELLS FARGO AVE, SCOTTSDALE, AZ 85251-5607",480-583-1009,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"16716 E PALISADES BLVD, FOUNTAIN HILLS, AZ 85268-3846",602-238-7570,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"14674 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2706",602-818-7344,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"10320 W MCDOWELL RD, AVONDALE, AZ 85392-4863",623-695-7928,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"5750 W THUNDERBIRD RD # C, GLENDALE, AZ 85306-4660",855-485-4673,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"20745 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-6594",602-421-7832,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"10460 N 92ND ST, SCOTTSDALE, AZ 85258-4549",623-238-7630,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"10460 N 92ND ST STE 40, SCOTTSDALE, AZ 85258-4549",623-238-7673,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"7695 S RESEARCH DR, TEMPE, AZ 85284-1812",480-587-5493,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-277-4868,Hospital,High,Other Medical,Low
HONORHEALTH CANCER CARE,"10197 N 92ND ST, SCOTTSDALE, AZ 85258-4560",602-943-2391,Hospital,High,Other Medical,Low
HONORHEALTH CANCER TRANSPLANT INSTITUTE,"10460 N 92ND ST STE 300, SCOTTSDALE, AZ 85258-4547",480-323-1573,Hospital,High,Other Medical,Low
HONORHEALTH COMPLETE CARE,"5316 E SHEA BLVD STE 150, SCOTTSDALE, AZ 85254-4725",480-534-4530,Hospital,High,Other Medical,Low
HONORHEALTH COMPLETE CARE,"16575 W WADDELL RD, SURPRISE, AZ 85388-9627",480-587-5108,Hospital,High,Other Medical,Low
HONORHEALTH DIABETES CENTER,"10250 N 92ND ST, SCOTTSDALE, AZ 85258-4510",480-323-4921,Hospital,High,Other Medical,Low
HONORHEALTH DIAGNOSTIC CENTER,"9003 E SHEA BLVD STE WDC, SCOTTSDALE, AZ 85260-6709",480-425-5030,Hospital,High,Other Medical,Low
HONORHEALTH MEDICAL GROUP,"23015 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-4492",480-587-7456,Hospital,High,Other Medical,Low
HONORHEALTH MEDICAL GROUP,"20950 N TATUM BLVD # B, PHOENIX, AZ 85050-4200",480-587-7434,Hospital,High,Other Medical,Low
HONORHEALTH MEDICATION MANAGEMENT,"10200 N 92ND ST, SCOTTSDALE, AZ 85258-4534",480-882-4327,Hospital,High,Other Medical,Low
HONORHEALTH MEDICATION MANAGMENT,"19841 N 27TH AVE STE 303, PHOENIX, AZ 85027-4011",480-583-4000,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT INFUSION SERVICES,"7242 E OSBORN RD STE 340, SCOTTSDALE, AZ 85251-6494",602-358-2281,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY,"19646 N 27TH AVE STE 405, PHOENIX, AZ 85027-4028",623-682-8260,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"1255 W RIO SALADO PKWY, TEMPE, AZ 85281-2816",480-587-6300,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"10320 W MCDOWELL RD, AVONDALE, AZ 85392-4863",570-234-7495,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"3501 N SCOTTSDALE RD # SUI, SCOTTSDALE, AZ 85251-5648",480-882-4608,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"20745 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-6594",602-683-7033,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"3717 S ROME ST STE 106, GILBERT, AZ 85297-7368",602-443-6480,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"8630 E VIA DE VENTURA STE 101, SCOTTSDALE, AZ 85258-3340",480-433-4760,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"10200 N 92ND ST, SCOTTSDALE, AZ 85258-4534",480-882-5694,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"18404 N TATUM BLVD, PHOENIX, AZ 85032-1510",623-683-7033,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"3654 W ANTHEM WAY STE B, ANTHEM, AZ 85086-0455",623-683-7033,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"6220 W BELL RD STE 140, GLENDALE, AZ 85308-3896",602-349-7668,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"6320 W UNION HILLS DR, GLENDALE, AZ 85308-1096",602-331-7897,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"7242 E OSBORN RD STE 2, SCOTTSDALE, AZ 85251-6487",480-583-3190,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"1761 E WARNER RD STE B, TEMPE, AZ 85284-4558",480-882-5694,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"19636 N 27TH AVE, PHOENIX, AZ 85027-4013",602-349-7668,Hospital,High,Other Medical,Low
HONORHEALTH OUTPATIENT THERAPY SERVICES,"33423 N 32ND AVE, PHOENIX, AZ 85085-8874",888-888-8881,Hospital,High,Other Medical,Low
HONORHEALTH PULMONARY HYPERTENSION CLINIC,"9250 N 3RD ST STE 2, PHOENIX, AZ 85020-2437",602-786-0220,Hospital,High,Other Medical,Low
HONORHEALTH RESEARCH AND INNOVATION INSTITUTE,"10510 N 92ND ST, SCOTTSDALE, AZ 85258-4566",480-354-6677,Hospital,High,Other Medical,Low
HONORHEALTH SLEEP HEALTH CENTER,"7301 E 2ND ST STE 1, SCOTTSDALE, AZ 85251-5600",480-587-5600,Hospital,High,Other Medical,Low
HOPE INTERNATIONAL CARE CENTER,"120 N ARIZONA BLVD, COOLIDGE, AZ 85128-4715",520-788-6420,Rehab,High,Other Medical,Low
HUMURA CARE CENTER,"10220 N 31ST AVE STE 205, PHOENIX, AZ 85051-9563",480-427-1767,Rehab,High,Other Medical,Low
INTERMOUNTAIN HEALTH CENTER,"994 S HARRISON RD, TUCSON, AZ 85748-6608",520-721-1887,Hospital,High,Other Medical,Low
INTERMOUNTAIN HEALTH CENTER,"272 & 276 WEST VIEW POINT DRIV, NOGALES, AZ 85621",520-721-1887,Hospital,High,Other Medical,Low
INTERMOUNTAIN HEALTH CENTER,"5055 E BROADWAY BLVD STE C104, TUCSON, AZ 85711-3641",520-721-1887,Hospital,High,Other Medical,Low
"INTERMOUNTAIN HEALTH CENTERS, INC","3716 E COLUMBIA ST STE 12, TUCSON, AZ 85714-3414",520-721-1887,Hospital,High,Other Medical,Low
"INTERMOUNTAIN HEALTH CENTERS, INC","2028 N TREKELL RD STE 102, CASA GRANDE, AZ 85122-1326",520-721-1887,Hospital,High,Other Medical,Low
KRMC SURGICAL SERVICES - HUALAPAI CAMPUS,"3801 SANTA ROSA DR STE 104, KINGMAN, AZ 86401-2311",928-757-0602,Hospital,High,Other Medical,Low
MARANA HEALTH CENTER MAIN,"13395 N MARANA MAIN ST, MARANA, AZ 85653-7008",520-682-4111,Hospital,High,Other Medical,Low
MARANA HEALTH CENTER OB/GYN,"2055 W HOSPITAL DR, TUCSON, AZ 85704-7892",520-797-0011,Hospital,High,Other Medical,Low
MARIPOSA COMMUNITY HEALTH CENTER INC,"3231 N GRAND AVE, NOGALES, AZ 85621-3905",520-761-2128,Hospital,High,Other Medical,Low
"MARIPOSA COMMUNITY HEALTH CENTER, INC.","1852 N MASTICK WAY, NOGALES, AZ 85621-1063",520-761-2128,Hospital,High,Other Medical,Low
"MARIPOSA COMMUNITY HEALTH CENTER, INC.","101 N TAYLOR LN, PATAGONIA, AZ 85624-9600",520-281-1550,Hospital,High,Other Medical,Low
"MARIPOSA COMMUNITY HEALTH CENTER, INC.","1835 N MASTICK WAY, NOGALES, AZ 85621-1064",520-761-2128,Hospital,High,Other Medical,Low
"MARIPOSA COMMUNITY HEALTH CENTER, INC.","1852 N MASTICK WAY, NOGALES, AZ 85621-1063",520-281-1550,Hospital,High,Other Medical,Low
"MARIPOSA COMMUNITY HEALTH CENTER, INC. AT RIO RICO","1103 CIRCULO MERCADO, RIO RICO, AZ 85648-6248",520-281-1550,Hospital,High,Other Medical,Low
MARIPOSA TUBAC REGIONAL HEALTH CENTER,"2239 E FRONTAGE RD, TUBAC, AZ 85646-9997",520-761-2128,Hospital,High,Other Medical,Low
MAYO CLINIC BUILDING - PHOENIX CAMPUS,"5881 E MAYO BLVD, PHOENIX, AZ 85054-4504",480-342-4201,Hospital,High,Other Medical,Low
MAYO CLINIC BUILDING - SCOTTSDALE CAMPUS,"13400 E SHEA BLVD, SCOTTSDALE, AZ 85259-5452",480-342-4201,Hospital,High,Other Medical,Low
MAYO CLINIC PRIMARY CARE - PHOENIX CAMPUS,"5701 E MAYO BLVD, PHOENIX, AZ 85054-4502",480-342-4201,Hospital,High,Other Medical,Low
MENTAL HEALTH CENTER OF AMERICA,"1745 S ALMA SCHOOL RD STE 145, MESA, AZ 85210-3049",602-820-2240,Hospital,High,Other Medical,Low
"MENTAL HEALTH CENTER OF AMERICA, LLC","7600 N 15TH ST, PHOENIX, AZ 85020-4327",602-704-2345,Hospital,High,Other Medical,Low
MHC WESTSIDE HEALTH CENTER,"1707 W SAINT MARYS RD, TUCSON, AZ 85745-2608",520-682-4111,Hospital,High,Other Medical,Low
MOUNTAIN PARK HEALTH CENTER,"140 N LITCHFIELD RD # SUI, GOODYEAR, AZ 85338-1277",602-323-3435,Hospital,High,Other Medical,Low
MOUNTAIN PARK HEALTH CENTER,"1300 N 48TH ST, PHOENIX, AZ 85008-5803",602-323-3345,Hospital,High,Other Medical,Low
MOUNTAIN PARK HEALTH CENTER - ATKINSON,"4222 N 51ST AVE, PHOENIX, AZ 85031-1908",602-323-3345,Hospital,High,Other Medical,Low
MOUNTAIN PARK HEALTH CENTER - BASELINE,"635 E BASELINE RD, PHOENIX, AZ 85042-6551",602-323-3345,Hospital,High,Other Medical,Low
MOUNTAIN PARK HEALTH CENTER - BASELINE WEST,"303 E BASELINE RD, PHOENIX, AZ 85042-6530",602-323-3345,Hospital,High,Other Medical,Low
