Business Name,Address,Phone Number,Facility Type,Priority
BANNER PHYSICAL THERAPY AND REHABILITATION,"1255 W BASELINE RD, MESA, AZ 85202-5820",480-820-7675,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4045 E BELL RD STE 150, PHOENIX, AZ 85032-2239",602-992-8352,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5151 E BROADWAY RD, MESA, AZ 85206-1346",480-396-9922,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5111 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85250-7075",480-314-1553,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1729 W GREENTREE DR # SUI, TEMPE, AZ 85284-2710",480-785-1765,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4344 W BELL RD STE 100, GLENDALE, AZ 85308-3589",602-548-9882,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10165 E HAMPTON AVE # SU, MESA, AZ 85209-3327",480-354-5424,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"126 E MAIN ST STE C, PAYSON, AZ 85541-5488",928-468-8907,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2853 S SOSSAMAN RD STE A1, MESA, AZ 85212-9625",480-373-9700,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2942 N 7TH AVE, PHOENIX, AZ 85013-4179",602-277-0084,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"14001 N 7TH ST, PHOENIX, AZ 85022-4382",602-548-5445,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1025 E BROADWAY RD, TEMPE, AZ 85282-1599",480-829-0217,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"9401 W THUNDERBIRD RD STE 1, PEORIA, AZ 85381-4233",623-977-5451,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"655 S DOBSON RD STE B, CHANDLER, AZ 85224-5667",480-732-0099,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2400 W DUNLAP AVE, PHOENIX, AZ 85021-2817",602-870-1414,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2120 AIRWAY AVE, KINGMAN, AZ 86409-3652",928-757-1211,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"13055 W MCDOWELL RD, AVONDALE, AZ 85392-6449",623-547-4787,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10750 W MCDOWELL RD, AVONDALE, AZ 85392-5960",623-907-0746,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5605 W EUGIE AVE, GLENDALE, AZ 85304-1272",480-210-6445,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-888-3700,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4015 S ARIZONA AVE # SUI, CHANDLER, AZ 85248-4586",480-426-8019,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",623-888-3502,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"20851 E RITTENHOUSE RD, QUEEN CREEK, AZ 85142-4493",480-677-3294,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"14418 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5283",623-888-3450,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",480-462-3880,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-510-0360,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"755 E MCDOWELL RD, PHOENIX, AZ 85006-2506",480-210-6556,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1972 E BASELINE RD, TEMPE, AZ 85283-1532",480-730-0501,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-813-7900,Rehab Hospital,High
BANNER THUNDERBIRD MEDICAL CENTER - BANNER INFUSIO,"13041 N DEL WEBB BLVD STE 10, SUN CITY, AZ 85351-3034",602-865-5058,Hospital,High
BANNER THUNDERBIRD MEDICAL CENTER - BANNER MD ANDE,"13041 N DEL WEBB BLVD STE 200, SUN CITY, AZ 85351-3034",623-832-0300,Hospital,High
BANNER THUNDERBIRD MEDICAL CENTER ADULT AND PEDIAT,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",602-865-3600,Hospital,High
BANNER UNIVERSITY MEDICAL CENTER ESRD,"1625 N CAMPBELL AVE, TUCSON, AZ 85719-4330",520-624-6353,Hospital,High
BANNER UNIVERSITY MEDICAL CENTER PHOENIX - BANNER-,"4200 E CAMELBACK RD STE 202, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,High
BANNER UNIVERSITY MEDICAL CENTER TUCSON – INTERVEN,"1891 W ORANGE GROVE RD # B, TUCSON, AZ 85704-1102",520-694-8921,Hospital,High
BANNER UNIVERSITY MEDICINE ORTHOPEDICS CLINIC,"1555 E RIVER RD STE 125, TUCSON, AZ 85718-5831",520-321-9850,Orthopedic Office,High
BANNER- UNIVERSITY MEDICAL CENTER PHOENIX - BANNER,"4200 E CAMELBACK RD STE 201, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,High
BANNER- UNIVERSITY MEDICAL CENTER PHOENIX-BANNER M,"925 E MCDOWELL RD, PHOENIX, AZ 85006-2502",623-832-0317,Hospital,High
BANNER- UNIVERSITY ORTHOPEDICS AND SPORTS MEDICINE,"7400 N DOBSON RD STE 201, SCOTTSDALE, AZ 85256-2770",480-733-7400,Orthopedic Office,High
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"2800 E AJO WAY BLDG 100, TUCSON, AZ 85713-6204",520-874-2000,Hospital,High
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"707 N ALVERNON WAY STE 2, TUCSON, AZ 85711-1827",520-874-2000,Hospital,High
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS FAMI,"707 N ALVERNON WAY, TUCSON, AZ 85711-1827",520-694-8888,Hospital,High
BANNER-UNIVERSITY MEDICAL CENTER TUCSON,"1891 W ORANGE GROVE RD # B, TUCSON, AZ 85704-1102",520-742-4183,Hospital,High
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"3838 N CAMPBELL AVE, TUCSON, AZ 85719-1454",520-694-2873,Hospital,High
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"707 N ALVERNON WAY, TUCSON, AZ 85711-1827",520-694-8065,Hospital,High
BARROW BRIDGE NEURO-REHABILITATION,"222 W THOMAS RD STE 30, PHOENIX, AZ 85013-4419",602-406-5001,Neurology Office,High
BARROW CENTER FOR TRANSITIONAL NEURO-REHABILITATI,"222 W THOMAS RD STE 40, PHOENIX, AZ 85013-4419",602-406-3473,Neurology Office,High
BARROW MOVEMENT DISORDERS OUTPATIENT NEURO-REHABIL,"240 W THOMAS RD STE 303, PHOENIX, AZ 85013-4407",602-406-4324,Neurology Office,High
BARROW OUTPATIENT NEURO-REHABILITATION CENTER -,"222 W THOMAS RD STE 11, PHOENIX, AZ 85013-4419",602-406-3726,Neurology Office,High
BARROW OUTPATIENT NEURO-REHABILITATION CENTER-NO,"222 W THOMAS RD STE 10, PHOENIX, AZ 85013-4419",602-406-3726,Neurology Office,High
BEATITUDES CAMPUS OUTPATIENT REHAB TREATMENT CENTE,"1668 W GLENDALE AVE, PHOENIX, AZ 85021-8971",602-995-2611,Rehab Hospital,High
BELLA VITA HEALTHCARE & REHABILITATION CENTER,"5125 N 58TH AVE, GLENDALE, AZ 85301-7453",623-931-5800,Rehab Hospital,High
BENSON HOSPITAL FAMILY HEALTH CARE,"688 W 4TH ST STE B, BENSON, AZ 85602-6315",520-586-2261,Hospital,High
BENSON HOSPITAL REHABILITATION,"500 S HIGHWAY 80 STE B, BENSON, AZ 85602-7069",520-720-6535,Hospital,High
BENSON HOSPITAL SATELLITE DRAW STATION,"880 W 4TH ST, BENSON, AZ 85602-6485",520-720-6571,Hospital,High
BHSM REHABILITATION LLC,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-813-7900,Rehab Hospital,High
CAMELBACK POST ACUTE CARE AND REHABILITATION,"4635 N 14TH ST, PHOENIX, AZ 85014-4016",602-264-9039,Skilled Nursing Facility,High
CANYON VISTA MEDICAL CENTER ADVANCED WOUND CARE CE,"5750 E HIGHWAY 90 STE 15, SIERRA VISTA, AZ 85635-9111",520-263-3001,Hospital,High
CANYON VISTA MEDICAL CENTER REHAB SERVICES,"5750 E HIGHWAY 90 STE 100, SIERRA VISTA, AZ 85635-9112",520-263-3001,Hospital,High
CARONDELET MEDICAL GROUP-ORTHO,"6567 E CARONDELET DR # SU, TUCSON, AZ 85710-6152",520-833-5133,Orthopedic Office,High
CHILDREN'S CLINIC FOR REHABILITATIVE SERVICES,"2600 N WYATT DR, TUCSON, AZ 85712-6106",520-324-5437,Rehab Hospital,High
CHILDREN'S REHABILITATIVE SERVICES,"3141 N 3RD AVE STE 1, PHOENIX, AZ 85013-4360",602-470-5502,Rehab Hospital,High
CHRISTIAN CARE OUTPATIENT REHAB CENTER,"11830 N 19TH AVE, PHOENIX, AZ 85029-3519",602-443-5447,Rehab Hospital,High
CHRISTIAN CARE OUTPATIENT REHAB CENTER,"16640 N SARIVAL RD, SURPRISE, AZ 85388-2202",623-300-9401,Rehab Hospital,High
CHRISTIAN CARE OUTPATIENT REHAB CLINIC,"118 S 70TH ST, MESA, AZ 85208-1007",480-654-1800,Rehab Hospital,High
CHRISTIAN CARE OUTPATIENT REHAB CLINIC,"155 W BROWN RD, MESA, AZ 85201-3427",480-290-7952,Rehab Hospital,High
CHRISTIAN CARE OUTPATIENT REHABILITATION CLINIC,"8111 E BROADWAY BLVD, TUCSON, AZ 85710-3937",520-886-5537,Rehab Hospital,High
COBRE VALLEY PHYSICAL THERAPY CLINIC,"5880 S HOSPITAL DR, GLOBE, AZ 85501-9447",928-402-1280,Rehab Hospital,High
COBRE VALLEY REGIONAL MEDICAL CENTER -SLEEP CENTER,"5860 S HOSPITAL DR STE 1, GLOBE, AZ 85501-9449",928-402-1122,Hospital,High
COBRE VALLEY REGIONAL MEDICAL CENTER- RADIATION ON,"5996 S HOSPITAL DR, GLOBE, AZ 85501-9462",928-402-2881,Hospital,High
COMMUNITY HOSPITAL CLINIC - SURGEONS,"521 ROSE LN, WICKENBURG, AZ 85390-1448",928-668-5506,Hospital,High
COMMUNITY HOSPITAL CLINIC - WICKENBURG,"523 ROSE LN, WICKENBURG, AZ 85390-1448",928-668-1833,Hospital,High
COMMUNITY HOSPITAL CLINIC - WITTMANN,"32919 N CENTER ST # SUI, WITTMANN, AZ 85361-9433",928-668-1845,Hospital,High
COMMUNITY HOSPITAL CLINIC-CONGRESS,"26750 S SANTA FE RD # B, CONGRESS, AZ 85332",928-668-1813,Hospital,High
CONCENTRA MEDICAL CENTER - SHAMROCK ONSITE,"2926 W ENCANTO BLVD, PHOENIX, AZ 85009-1614",717-884-7414,Hospital,High
CONCENTRA MEDICAL CENTERS - ESTRELLA,"2010 N 75TH AVE, PHOENIX, AZ 85035-3247",717-972-1100,Hospital,High
CONCENTRA MEDICAL CENTERS - RIO SALADO,"1626 S PRIEST DR, TEMPE, AZ 85281-6597",480-921-2273,Hospital,High
CONCENTRA MEDICAL CENTERS - SCOTTSDALE,"10335 N SCOTTSDALE RD, SCOTTSDALE, AZ 85253-1435",480-991-9358,Hospital,High
CONTINENTAL FAMILY MEDICAL CENTER,"1260 S CAMPBELL AVE, GREEN VALLEY, AZ 85614-0504",520-407-5900,Hospital,High
COPPER QUEEN COMM HOSPITAL-DOUGLAS EMERGENCY DEPT,"100 E 5TH ST, DOUGLAS, AZ 85607-2859",520-805-6872,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL - DOUGLAS - ROMO M,"100 E 5TH ST, DOUGLAS, AZ 85607-2859",520-432-6400,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL - DOUGLAS PHYSICAL,"500 CHIRICAHUA AVE, DOUGLAS, AZ 85607-2867",520-432-6401,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL - HEREFORD PHYSICA,"4524 E HEREFORD RD, HEREFORD, AZ 85615-8813",520-432-6400,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL HEREFORD RHC,"4524 E HEREFORD RD STE 1, HEREFORD, AZ 85615-8813",520-432-6401,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL- TOMBSTONE RHC,"7 N SAN DIEGO ST, TOMBSTONE, AZ 85638-0406",520-432-6401,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL-BISBEE RHC,"7 BISBEE RD, BISBEE, AZ 85603-1140",520-432-6401,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL-DOUGLAS RHC,"100 E 5TH ST, DOUGLAS, AZ 85607-2859",520-364-7659,Hospital,High
COPPER QUEEN COMMUNITY HOSPITAL-PALOMINAS RHC,"10524 E HIGHWAY 92, HEREFORD, AZ 85615-8371",520-366-0300,Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"20330 N CAVE CREEK RD, PHOENIX, AZ 85024-4465",713-297-7000,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"1860 N 95TH LN, PHOENIX, AZ 85037-4324",713-297-7000,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"14239 W BELL RD STE 11, SURPRISE, AZ 85374-2469",623-544-1631,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"3104 E INDIAN SCHOOL RD, PHOENIX, AZ 85016-6889",713-297-7051,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"5757 W THUNDERBIRD RD # SU, GLENDALE, AZ 85306-4641",602-843-9945,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY,"2195 W CHANDLER BLVD, CHANDLER, AZ 85224-6579",713-297-7000,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY - GOODYEAR,"790 N ESTRELLA PKWY # SU, GOODYEAR, AZ 85338-9289",602-277-3686,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY - MESA,"7165 E UNIVERSITY DR, MESA, AZ 85207-6400",713-297-7020,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY - PEORIA,"10184 W HAPPY VALLEY PKWY, PEORIA, AZ 85383-1254",623-907-2820,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY- GILBERT,"1489 S HIGLEY RD, GILBERT, AZ 85296-4776",602-277-3686,Rehab Hospital,High
DESERT HAND AND PHYSICAL THERAPY- LAVEEN,"5030 W BASELINE RD STE A, LAVEEN, AZ 85339-7331",602-264-6068,Rehab Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1833 N POWER RD, MESA, AZ 85205-3799",480-398-7340,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"2977 E GERMANN RD, CHANDLER, AZ 85286-1586",480-732-7540,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"251 N ESTRELLA PKWY, GOODYEAR, AZ 85338-9334",623-322-6900,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"14267 W BELL RD, SURPRISE, AZ 85374-2466",623-546-5340,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"5125 S RURAL RD, TEMPE, AZ 85282-7008",480-306-8780,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1910 S GILBERT RD, MESA, AZ 85204-6808",623-584-5100,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1064 E RAY RD, CHANDLER, AZ 85225-1542",480-494-5100,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"5171 W OLIVE AVE, GLENDALE, AZ 85302-4204",602-900-4780,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"4760 E GERMANN RD, GILBERT, AZ 85297-0205",480-494-5000,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"4328 E CHANDLER BLVD, PHOENIX, AZ 85048-8839",480-454-3630,Hospital,High
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL EMERGENCY,"1419 W HUNT HWY, SAN TAN VALLEY, AZ 85143-4603",480-245-4300,Hospital,High
DIGNITY HEALTH SERVICE YAVAPAI REGIONAL MEDICAL,"1112 W IRON SPRINGS RD, PRESCOTT, AZ 86305-1624",928-445-2700,Hospital,High
DIGNITY HEALTH YAVAPAI REGIONAL MEDICAL CENTER BLO,"1001 WILLOW CREEK RD STE 1, PRESCOTT, AZ 86301-1614",928-458-2850,Hospital,High
DIGNITY HEALTH YAVAPAI REGIONAL MEDICAL CENTER CAR,"1001 WILLOW CREEK RD STE 24, PRESCOTT, AZ 86301-1614",928-771-5141,Hospital,High
